annotation_id,source_order,question,context,factoid,atomicity,question_relevance,primary_category,category_name,context_support,evidence_clarity,annotator_id
RQ3-0011,11,"Which style of minimalist furniture and housewares from Denmark associated was Hans J. Wegner, one of the leading figures of its movement "," It is the company behind many of the classical furniture designs of Hans J. Wegner, one of the leading figures of the Danish modern movement.Danish modern is a style of minimalist furniture and housewares from Denmark associated with the Danish design movement.",Danish modern originated in Denmark.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0012,12,What group does LE rap in?,"She is the main rapper of the K-pop girl group EXID. Although it includes all genres of ""popular music"" within South Korea, the term is often used in a narrower sense to describe a modern form of South Korean pop music drawing inspiration on a range of styles and genres incorporated from the rest of the world such as Western pop music, rock, experimental, jazz, gospel, Latin, hip hop, R&B, reggae, electronic dance, folk, country and classical on top of its uniquely traditional Korean music roots.",LE is the main rapper of the K-pop girl group EXID.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0013,13,Josh Aubrey played college football at a school in what city?," He played college football at Stephen F. Austin State University.Stephen F. Austin State University (SFA) is a public university located in Nacogdoches, Texas, United States.",Nacogdoches is in Texas.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0014,14,Cyril Briggs was dedicated to advancing what  worldwide intellectual movement that aims to encourage and strengthen bonds of solidarity between all people of African descent," Briggs is best remembered as founder and editor of ""The Crusader,"" a seminal New York magazine of the New Negro Movement of the 1920s and as founder of the African Blood Brotherhood, a small but historically important radical organization dedicated to advancing the cause of Pan-Africanism.Pan-Africanism is a worldwide intellectual movement that aims to encourage and strengthen bonds of solidarity between all people of African descent.",Pan-Africanism aims to encourage and strengthen bonds of solidarity between all people of African descent.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0015,15,"The SS-owned company that funded a Nazi association to raise the birth rate of ""Aryan"" children was created to market a reflector invented by which employee of Hitler?","Anton Loibl GmbH was a company owned by the SS which was a funding source for the Ahnenerbe research branch and the Lebensborn eugenics programme. It was created to market a bicycle reflector invented by Anton Loibl, a chauffeur for Hitler.Lebensborn e.V. (literally: ""Fount of Life"") was an SS-initiated, state-supported, registered association in Nazi Germany with the goal of raising the birth rate of ""Aryan"" children of persons classified as ""racially pure and healthy"" based on Nazi racial hygiene and health ideology.",The bicycle reflector was invented by Hitler's chauffeur.,PASS,PASS,Cat7,Multi-entity / Multi-hop,TRUE,CLEAR,Annotator B
RQ3-0016,16,Who did ed sheeran wrote nancy mulligan about?,"Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. It was included on the deluxe edition of his third studio album ""÷"" (2017). After the album's release it charted at number 13 on the UK Singles Chart. Sheeran recorded the song together with Beoga. ""Nancy Mulligan"" is one of the most personal songs on the album, telling the story of how his grandparents, William Sheeran, a Protestant from Belfast, Northern Ireland and Nancy Mulligan (real name Anne Mulligan), a Catholic from Republic of Ireland, met, fell in love during the Second World War and got married at

Hopefully if these songs are successful, more people will do a bit more like it."" In 2017, the song was covered by the Irish country singer Mike Denver with an accompanying music video. Sheeran performed the song, backed on stage by Beoga, during his headline performance at the Glastonbury Festival. Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. It was included on the deluxe edition of his third studio album ""÷"" (2017). After the album's release it charted at number 13 on the UK Singles Chart. Sheeran recorded the song together with Beoga. ""Nancy Mulligan"" is

the Wexford border. Sheeran said: ""They got engaged and no one turned up at their wedding. He stole all the gold teeth in his dental surgery and melted them down into a wedding ring, and they wore borrowed clothes to get married, and just basically have this kind of Romeo and Juliet romance, which is like the most romantic thing. So I thought I'd write a song about it and make it a jig."" In an interview with the ""Irish Times"", talking about the song's Irish roots, Sheeran said ""I don't think enough people use Irish folk in pop music...","The song ""Nancy Mulligan"" tells the story of how Ed Sheeran's grandparents got married.",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0017,17,What country of origin does Nick Kroll and Get Him to the Greek have in common?,"Nicholas Kroll (born June 5, 1978) is an American actor, comedian, writer, and producer.Get Him to the Greek is a 2010 American black comedy film written, produced and directed by Nicholas Stoller and starring Russell Brand and Jonah Hill.",Nick Kroll and Get Him to the Greek share the same national origin: American.,PASS,PASS,Cat7,Multi-entity / Multi-hop,TRUE,CLEAR,Annotator B
RQ3-0018,18,Who won the Best Character Actress award at the Asianet Television Awards 2016?," Her daughter Thara Kalyan is also an actress in Malayalam movies.Currently she is playing lead role in Malayalam Soap opera Karuthamuthu and she won ""Best Character Actress"" at Asianet Television Awards 2016",Thara Kalyan won the Best Character Actress award at the Asianet Television Awards 2016.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0019,19,The Abbey of Saint-Étienne was founded by a descendant of who?,"The Abbey of Saint-Étienne, also known as Abbaye aux Hommes (""Men's Abbey"") by contrast with the Abbaye aux Dames (""Ladies' Abbey""), is a former Benedictine monastery in the French city of Caen, Normandy, dedicated to Saint Stephen. It was founded in 1063 by William the Conqueror and is one of the most important Romanesque buildings in Normandy.William I (c. 1028 – 9 September 1087), usually known as William the Conqueror and sometimes William the Bastard, was the first Norman King of England, reigning from 1066 until his death in 1087. A descendant of Rollo, he was Duke of Normandy (as Duke William II) from 1035 onward.",The Abbey of Saint-Étienne was founded by William the Conqueror.,PASS,FAIL,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0020,20,"Where did the Navy Reserve Unit that is headquartered at Port Hueneme, CA get its nickname?","Naval Mobile Construction Battalion 25 or NMCB 25 is a Navy Reserve Seabee unit that is headquartered at Port Hueneme, CA. Their nickname is a heterograph of the first initials ""C.B."" from the words Construction Battalion.","The first initials ""C.B."" are from the words Construction Battalion.",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0021,21,Who played in the world series in 1989?,"champion Oakland A's, who won 104 games. The Twins eventually sank towards the bottom of the standings, finishing last in 1990. In 1991, the Twins returned to the playoffs by beating the Blue Jays in the ALCS and winning what many call the greatest World Series ever played over the Atlanta Braves. The 1987 World Series featured at least two players who would go on to win ""Manager of the Year"" awards. The Twins' Don Baylor won it in 1995 for his work with the Colorado Rockies while the Cardinals' Tony Peña won it in 2003 for his work with

1989 World Series The 1989 World Series was the 86th edition of Major League Baseball's championship series, and the conclusion of the 1989 Major League Baseball season. A best-of-seven playoff, it was played between the American League (AL) champion Oakland Athletics and the National League (NL) champion San Francisco Giants. The Series ran from October 14 through October 28, with the Athletics sweeping the Giants in four games. It was the first World Series sweep since 1976. The four game sweep by the Athletics at the time would mark only the third time in World Series history that a team

1987 World Series The 1987 World Series was the 84th edition of Major League Baseball's championship series, and the conclusion of the 1987 Major League Baseball season. It was a best-of-seven playoff played between the American League (AL) champion Minnesota Twins and the National League (NL) champion St. Louis Cardinals. The Twins defeated the Cardinals four games to three to win the Series. Twins pitcher Frank Viola was named as the 1987 World Series MVP. Minnesota was victorious in a World Series that was the first to feature games played indoors. It was also the first World Series in which",The Oakland Athletics swept the San Francisco Giants in four games in the 1989 World Series.,PASS,PASS,Cat7,Multi-entity / Multi-hop,TRUE,CLEAR,Annotator B
RQ3-0022,22,"Who replaced the Peabody Award winner, made famous for his NPR flagship program, in 2004?","Renée Montagne (pronounced Mon-TAIN) is an American radio journalist and was the co-host (with Steve Inskeep and David Greene) of National Public Radio's weekday morning news program, ""Morning Edition"", from May 2004 to November 11, 2016. Montagne and Inskeep succeeded longtime host Bob Edwards, initially as interim replacements, and Greene joined the team in 2012. Montagne had served as a correspondent and occasional host since 1989. She usually broadcasts from NPR West in Culver City, California, a Los Angeles suburb.Robert Alan ""Bob"" Edwards (born May 16, 1947) is an American broadcast journalist, a Peabody Award-winning member of the National Radio Hall of Fame. He gained reputation as the first host of National Public Radio's flagship program, ""Morning Edition"". Starting in 2004, Edwards then was the host of ""The Bob Edwards Show"" on Sirius XM Radio and ""Bob Edwards Weekend"" distributed by Public Radio International to more than 150 public radio stations.",Steve Inskeep replaced the Peabody Award winner in 2004.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,FALSE,CLEAR,Annotator B
RQ3-0023,23,"What shopping centre located in Kuala Lumpur, Malaysia does KLCC District Cooling provide district cooling for?","KLCC District Cooling is a building that is used to provide district cooling for the KLCC vicinity. It is a 30,000 ton gas-powered turbine-driven chilled water unit providing cool air not only to Petronas Twin Towers and Suria KLCC, but also to Maxis Tower, Menara Exxon Mobil, Kuala Lumpur Convention Centre, and Mandarin Oriental Kuala Lumpur as well as As Syakirin Mosque.Suria KLCC is a shopping centre located in central Kuala Lumpur, Malaysia.",Suria KLCC is a shopping mall.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0024,24,"Who partnered with the writer of ""Brooklyn By The Sea"" to write the song ""A Teenager in Love""?","""A Teenager in Love"" is a song written by Doc Pomus and partner Mort Shuman and was originally sung and released by Dion and the Belmonts in March 1959. He also wrote and sang many songs in French, such as ""Le Lac Majeur"", ""Allo Papa Tango Charlie"", ""Sha Mi Sha"", ""Un Eté de Porcelaine"", and ""Brooklyn by the Sea"" which became hits in France.",Mort Shuman partnered with Doc Pomus.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0025,25,What is the musculoskeletal system and what does it do?,"Human musculoskeletal system The human musculoskeletal system (also known as the locomotor system, and previously the activity system) is an organ system that gives humans the ability to move using their muscular and skeletal systems. The musculoskeletal system provides form, support, stability, and movement to the body. It is made up of the bones of the skeleton, muscles, cartilage, tendons, ligaments, joints, and other connective tissue that supports and binds tissues and organs together. The musculoskeletal system's primary functions include supporting the body, allowing motion, and protecting vital organs. The skeletal portion of the system serves as the main storage

effectiveness of the system. These diseases can be difficult to diagnose due to the close relation of the musculoskeletal system to other internal systems. The musculoskeletal system refers to the system having its muscles attached to an internal skeletal system and is necessary for humans to move to a more favorable position. Complex issues and injuries involving the musculoskeletal system are usually handled by a physiatrist (specialist in physical medicine and rehabilitation) or an orthopaedic surgeon. The skeletal system serves many important functions; it provides the shape and form for the body, support and protection, allows bodily movement, produces blood

provide energy for exercises lasting up to ten seconds. Recovery is very quick, with full creatine stores regenerated within five minutes. Multiple diseases can affect the muscular system. Muscular system The muscular system is an organ system consisting of skeletal, smooth and cardiac muscles. It permits movement of the body, maintains posture and circulates blood throughout the body. The muscular systems in vertebrates are controlled through the nervous system although some muscles (such as the cardiac muscle) can be completely autonomous. Together with the skeletal system, it forms the musculoskeletal system, which is responsible for movement of the human body.",The musculoskeletal system is made up of muscles.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0026,26,"Editors and Working for a Nuclear Free City, is of which nationality?","Editors are an English rock band, formed in 2002 in Birmingham.Working for a Nuclear Free City (sometimes abbreviated to WFANFC) was an indie nu gaze band from Manchester, England.",Editors and Working for a Nuclear Free City are both from England.,PASS,PASS,Cat7,Multi-entity / Multi-hop,TRUE,CLEAR,Annotator B
RQ3-0027,27,Lochner v. New York and New York v. Ferber where both handled by who?,"New York v. Ferber, 458 U.S. 747 (1982) , is a precedential decision given by the United States Supreme Court, which ruled unanimously that the First Amendment right to free speech did not forbid states from banning the sale of material depicting children engaged in sexual activity, even if the material was not obscene.Lochner v. New York, 198 US 45 (1905) was a landmark US labor law case in the US Supreme Court, holding that limits to working time violated the Fourteenth Amendment.",The United States Supreme Court is the highest court in the United States.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0028,28,Arthur bell as an amateur cricketer player for what league known for employing professional players.," An architect by trade, Bell also played as an amateur cricketer for Burnley Cricket Club for 20 years, during which time he won five Lancashire League championships. Its real importance is probably due to the history of employing professional players of international standing to play in the League.",The Lancashire League has featured many famous cricketers from around the world.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
RQ3-0029,29,"The World's Best Prom and Shape of the Moon, are films of which genre?","The World's Best Prom is a 2006 documentary film about a high school prom in Racine, Wisconsin.Shape of the Moon (Dutch: ""Stand van de maan"" ) is a Dutch/Indonesian documentary film from 2004 directed by Leonard Retel Helmrich.",The World's Best Prom is a non-fiction movie.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0030,30,Which musician has a solo punk rock project: Toshiko Koshijima or Frank Iero?,"Toshiko Koshijima (こしじま としこ , Koshijima Toshiko , born March 3, 1980 in Kanazawa, Ishikawa) is a Japanese singer.Frank Anthony Iero, Jr. (born October 31, 1981) is an American musician who was the rhythm guitarist and backup vocalist of the rock band My Chemical Romance and post-hardcore band Leathermouth. He has a solo punk rock project titled Frank Iero and the Patience.","Frank Anthony Iero, Jr. is a person.",PASS,FAIL,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0031,31,"What is the name of this infantry regiment of the United States Army, whose captain was John McCunn?","John H. McCunn (Nov. 2, 1820–Jul. 6, 1872) belonged to a poor Irish immigrant family who arrived in New York City in the 19th century. When the American Civil War began in 1861 he joined the Union Army as a Captain in the 69th New York Infantry Regiment before he recruited the 37th New York Infantry which he commanded as colonel.The 69th Infantry Regiment is an infantry regiment of the United States Army.",The 69th Infantry Regiment is a military unit.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0032,32,What occupation was shared by both John Frankenheimer and Tiffanie DeBartolo?,"John Michael Frankenheimer (February 19, 1930 – July 6, 2002) was an American film and television director known for social dramas and action/suspense films. She wrote and directed the film ""Dream for an Insomniac"", featuring Jennifer Aniston, but which had a very limited release in 1996.",John Frankenheimer and Tiffanie DeBartolo both worked as film directors.,PASS,PASS,Cat7,Multi-entity / Multi-hop,TRUE,CLEAR,Annotator B
RQ3-0033,33,Space Island One starred what English actress who is married to roy battersby," A co-production between the UK's Sky One channel and the German Vox channel, it starred Judy Loe as Kathryn McTiernan, the commander of the multinational crew of the space station ""Unity"".Judith Margaret ""Judy"" Loe (born 6 March 1947) is an English actress.",Judy Loe is the actress who starred in Space Island One.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0034,34,What is the meaning of the latin word camera obscura?,"Camera obscura Camera obscura (plural ""camera obscura"" or ""camera obscuras""; from Latin, meaning ""dark room"": ""camera"" ""(vaulted) chamber or room,"" and ""obscura"" ""darkened, dark""), also referred to as pinhole image, is the natural optical phenomenon that occurs when an image of a scene at the other side of a screen (or for instance a wall) is projected through a small hole in that screen as a reversed and inverted image (left to right and upside down) on a surface opposite to the opening. The surroundings of the projected image have to be relatively dark for the image to be clear,

per second. When the images are combined and displayed in order, the illusion of motion is achieved. The forerunner to the photographic camera was the ""camera obscura"". Camera obscura (Latin for ""dark room"") is the natural phenomenon that occurs when an image of a scene at the other side of a screen (or for instance a wall) is projected through a small hole in that screen and forms an inverted image (left to right and upside down) on a surface opposite to the opening. The oldest known record of this principle is a description by Han Chinese philosopher Mozi (ca.

making one it only requires a few items including: a box, tracing paper, tape, foil, a box cutter, a pencil and a blanket to keep out the light. Camera obscura Camera obscura (plural ""camera obscura"" or ""camera obscuras""; from Latin, meaning ""dark room"": ""camera"" ""(vaulted) chamber or room,"" and ""obscura"" ""darkened, dark""), also referred to as pinhole image, is the natural optical phenomenon that occurs when an image of a scene at the other side of a screen (or for instance a wall) is projected through a small hole in that screen as a reversed and inverted image (left to

so many historical camera obscura experiments were performed in dark rooms. The term ""camera obscura"" also refers to constructions or devices that make use of the principle within a box, tent or room. Camerae obscurae with a lens in the opening have been used since the second half of the 16th century and became popular as an aid for drawing and painting. The camera obscura box was developed further into the photographic camera in the first half of the 19th century when camera obscura boxes were used to expose light-sensitive materials to the projected image. The camera obscura was used

channels but is not well known or widely used. It has enjoyed a resurgence recently through a number of Kickstarter campaigns. The name """"camera lucida"""" (Latin for ""light chamber"") is obviously intended to recall the much older drawing aid, the ""camera obscura"" (Latin for ""dark chamber""). There is no optical similarity between the devices. The ""camera lucida"" is a light, portable device that does not require special lighting conditions. No image is projected by the ""camera lucida"". In the simplest form of ""camera lucida"", the artist looks down at the drawing surface through a half-silvered mirror tilted at 45 degrees.","The Latin term ""camera obscura"" means ""dark room"" or ""dark chamber"".",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0035,35,"In between The Joy Formidable and The Lumineers which consists of Rhiannon ""Ritzy"" Bryan (lead vocals, guitar),?","The Joy Formidable is a Welsh alternative rock band, formed in 2007 in North Wales and currently based in London, England. The band consists of Rhiannon ""Ritzy"" Bryan (lead vocals, guitar), Rhydian Dafydd (bass, vocals) and Matthew James Thomas (drums, percussion).The Lumineers are an American folk rock/Americana band based in Denver, Colorado.","The Joy Formidable consists of Ritzy Bryan, Rhydian Dafydd, and Matt Thomas.",PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
RQ3-0036,36,Who determines the size of the supreme court?,"Procedures of the Supreme Court of the United States The Supreme Court of the United States is the highest court in the federal judiciary of the United States. The procedures of the Supreme Court of the United States are governed by the U.S. Constitution, various federal statutes, and the Court's own internal rules. Since 1869, the Court has consisted of one chief justice and eight associate justices. Justices are nominated by the president, and with the advice and consent (confirmation) of the U.S. Senate, appointed to the Court by the president. Once appointed, justices have lifetime tenure unless they resign,

Supreme Court of Florida The Supreme Court of Florida is the highest court in the U.S. state of Florida. It consists of seven members—the Chief Justice and six Justices. Five members are chosen from five districts around the state to foster geographic diversity and two are selected at-large. The Justices are appointed by the Governor to set terms that do not exceed six years. Immediately after appointment, the initial term is three years or less, because the Justices must appear on the ballot in the next general election that occurs more than one year after their appointment. Afterward they serve

Gallery of United States Supreme Court composition templates The Supreme Court of the United States is the highest ranking judicial body in the United States. Established by Article III of the Constitution, the detailed structure of the Court was laid down by the 1st United States Congress in 1789. Congress, through the Judiciary Act of 1789, specified the Court's original and appellate jurisdiction, created 13 judicial districts, and fixed the initial size of the Supreme Court at six members. The number of justices on the Court changed several times over the ensuing 80 years. The Judiciary Act of 1801 would

Less commonly, though with historical precedent, vacancies may occur as a result of Congress changing the size of the Court. Because the Constitution does not specify the Court's size, it was left to Congress to determine the matter through law, and a small number of statutes have legally changed the size of the Court throughout its history. Changing the Court's size can have the effect of changing the seats on the Court; a newly created seat brings with it a vacancy which must be filled by an initial officeholder. The original Judiciary Act of 1789 called for six justices, vacancies

account of the controversy in ""Inside Bush v. Gore"" released in April 2013. Supreme Court of Florida The Supreme Court of Florida is the highest court in the U.S. state of Florida. It consists of seven members—the Chief Justice and six Justices. Five members are chosen from five districts around the state to foster geographic diversity and two are selected at-large. The Justices are appointed by the Governor to set terms that do not exceed six years. Immediately after appointment, the initial term is three years or less, because the Justices must appear on the ballot in the next general",Congress determines the size of the U.S. Supreme Court through law.,PASS,PASS,Cat1,Entity / Alias / Lexical Relation,TRUE,CLEAR,Annotator B
