legacy_id,question,context,factoid,disagreement_fields,disagreement_count,A_atomicity,A_question_relevance,A_evidence_clarity,A_evidence_relation,A_primary_category,A_secondary_tags,A_confidence,A_evidence_span,A_comment,B_atomicity,B_question_relevance,B_evidence_clarity,B_evidence_relation,B_primary_category,B_confidence,B_evidence_span,B_comment,final_atomicity,final_question_relevance,final_evidence_clarity,final_evidence_relation,final_primary_category
35,The Crocs River is a tributary of a river given what nickname?,"The Crocs River (French: Rivière des Crocs) is a tributary of the Saint John River (Bay of Fundy), in Quebec and New Brunswick, in Canada. It has been nicknamed the ""Rhine of North America"" for its scenery.",The Saint John River (Bay of Fundy) is in New Brunswick.,evidence_clarity;evidence_relation,2,PASS,FAIL,AMBIGUOUS,AMBIGUOUS,INVALID,Cat1,low,"The Crocs River (French: Rivière des Crocs) is a tributary of the Saint John River (Bay of Fundy), in Quebec and New Brunswick, in Canada.",The location phrase in context has ambiguous attachment and does not answer the nickname question.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"The Crocs River (French: Rivi√®re des Crocs) is a tributary of the Saint John River (Bay of Fundy), in Quebec and New Brunswick, in Canada. || It has been nicknamed the ""Rhine of North America"" for its scenery.",INVALID: Does not provide the river's nickname.,PASS,FAIL,CLEAR,ENTAILED,INVALID
39,"Who was born first, Franco Malerba or Wubbo Ockels?","Franco Egidio Malerba (born October 10, 1946, in Busalla, Metropolitan City of Genoa, Italy) is an astronaut.Wubbo Johannes Ockels (28 March 1946 – 18 May 2014) was a Dutch physicist and an astronaut of the European Space Agency (ESA).",Franco Egidio Malerba was born first.,primary_category,1,PASS,PASS,CLEAR,CONTRADICTED,Cat4,Cat5,high,"Franco Egidio Malerba (born October 10, 1946, in Busalla, Metropolitan City of Genoa, Italy) is an astronaut.Wubbo Johannes Ockels (28 March 1946 – 18 May 2014) was a Dutch physicist and an astronaut of the European Space Agency (ESA).",Temporal ordering of birth dates; Ockels was born earlier in 1946.,PASS,PASS,CLEAR,CONTRADICTED,Cat5,HIGH,"Franco Egidio Malerba (born October 10, 1946, in Busalla, Metropolitan City of Genoa, Italy) is an astronaut.Wubbo Johannes Ockels (28 March 1946 ‚Ä?18 May 2014) was a Dutch physicist and an astronaut of the European Space Agency (ESA).","Primary operation: comparison, ranking, relative magnitude, or superlative.",PASS,PASS,CLEAR,CONTRADICTED,Cat5
40,What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?," The series also starred Joey Slotnick as Eliot's best friend Sam Sloan, Ming-Na Wen as Sam's wife Trudy and Ernest Borgnine as doorman Manny, throughout its entire run.Ming-Na Wen (; born November 20, 1963) is an American actress.",Trudy's nationality in The Single Guy is never explicitly revealed.,question_relevance;evidence_relation;primary_category,3,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat2,medium,"The series also starred Joey Slotnick as Eliot's best friend Sam Sloan, Ming-Na Wen as Sam's wife Trudy and Ernest Borgnine as doorman Manny, throughout its entire run.Ming-Na Wen (; born November 20, 1963) is an American actress.",Character nationality is not the actress-nationality answer and is not established by the context.,PASS,PASS,CLEAR,CONTRADICTED,Cat2,HIGH,"The series also starred Joey Slotnick as Eliot's best friend Sam Sloan, Ming-Na Wen as Sam's wife Trudy and Ernest Borgnine as doorman Manny, throughout its entire run.Ming-Na Wen (; born November 20, 1963) is an American actress.","Primary operation: negation, exclusion, exception, or proposition polarity.",PASS,PASS,CLEAR,CONTRADICTED,Cat2
44,What was the original name of the gazette that publishes Lytham St Annes Express?," It is published by the Blackpool Gazette and therefore owned by Johnson Press. It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",The West Lancashire Evening Gazette is part of the Newsquest media group.,evidence_relation,1,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat1,high,"It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",Ownership claim is irrelevant to the original-name question and unsupported.,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,HIGH,"It is published by the Blackpool Gazette and therefore owned by Johnson Press. || It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",INVALID: Does not provide the gazette's original name.,PASS,FAIL,CLEAR,CONTRADICTED,INVALID
48,Which child actress began her career in 2006 and also stared in the television series The Emperor: Owner of the Mask?,"The Emperor: Owner of the Mask () is a South Korean television series starring Yoo Seung-ho, Kim So-hyun, Kim Myung-soo, Yoon So-hee, Heo Joon-ho and Park Chul-min. She began her career as a child actress in 2006 and initially gained public attention for playing a villainous young queen-to-be in ""Moon Embracing the Sun"" (2012) and a girl who falls into tragedy in ""Missing You"" (2013).",The child actress began her career in 2006.,atomicity;question_relevance,2,FAIL,PASS,CLEAR,ENTAILED,INVALID,Cat4,medium,"She began her career as a child actress in 2006 and initially gained public attention for playing a villainous young queen-to-be in ""Moon Embracing the Sun"" (2012) and a girl who falls into tragedy in ""Missing You"" (2013).",Definite description 'the child actress' is not standalone without an identified subject.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"The Emperor: Owner of the Mask () is a South Korean television series starring Yoo Seung-ho, Kim So-hyun, Kim Myung-soo, Yoon So-hee, Heo Joon-ho and Park Chul-min. || She began her career as a child actress in 2006 and initially gained public attention for playing a villainous young queen-to-be in ""Moon Embracing the Sun"" (2012) and a girl who falls into tragedy in ""Missing You"" (2013).",INVALID: Repeats a career date but does not name the actress.,PASS,FAIL,CLEAR,ENTAILED,INVALID
54,Who did ed sheeran wrote nancy mulligan about?,"Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. It was included on the deluxe edition of his third studio album ""÷"" (2017). After the album's release it charted at number 13 on the UK Singles Chart. Sheeran recorded the song together with Beoga. ""Nancy Mulligan"" is one of the most personal songs on the album, telling the story of how his grandparents, William Sheeran, a Protestant from Belfast, Northern Ireland and Nancy Mulligan (real name Anne Mulligan), a Catholic from Republic of Ireland, met, fell in love during the Second World War and got married at

Hopefully if these songs are successful, more people will do a bit more like it."" In 2017, the song was covered by the Irish country singer Mike Denver with an accompanying music video. Sheeran performed the song, backed on stage by Beoga, during his headline performance at the Glastonbury Festival. Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. It was included on the deluxe edition of his third studio album ""÷"" (2017). After the album's release it charted at number 13 on the UK Singles Chart. Sheeran recorded the song together with Beoga. ""Nancy Mulligan"" is

the Wexford border. Sheeran said: ""They got engaged and no one turned up at their wedding. He stole all the gold teeth in his dental surgery and melted them down into a wedding ring, and they wore borrowed clothes to get married, and just basically have this kind of Romeo and Juliet romance, which is like the most romantic thing. So I thought I'd write a song about it and make it a jig."" In an interview with the ""Irish Times"", talking about the song's Irish roots, Sheeran said ""I don't think enough people use Irish folk in pop music...",Ed Sheeran's grandparents got married at the Wexford border.,evidence_clarity,1,PASS,PASS,CLEAR,ENTAILED,Cat1,Cat4,medium,"""Nancy Mulligan"" is one of the most personal songs on the album, telling the story of how his grandparents, William Sheeran, a Protestant from Belfast, Northern Ireland and Nancy Mulligan (real name Anne Mulligan), a Catholic from Republic of Ireland, met, fell in love during the Second World War an","Direct relation about the grandparents, who are the song's subject.",PASS,PASS,AMBIGUOUS,ENTAILED,Cat1,MEDIUM,"Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. || ""Nancy Mulligan"" is one of the most personal songs on the album, telling the story of how his grandparents, William Sheeran, a Protestant from Belfast, Northern Ireland and Nancy Mulligan (real name Anne Mulligan), a Catholic from Republic of Ireland, met, fell in love during the Second World War an","Primary operation: direct entity, alias, attribute, membership, or lexical relation.",PASS,PASS,CLEAR,ENTAILED,Cat1
57,Song at the end of who dat boy?,"accompanied music video was uploaded on June 29, 2017 on Tyler's official YouTube channel. The music video was directed by Tyler under the pseudonym Wolf Haley. The music video features visual allusions to the 2017 film ""Get Out"" and rapper Action Bronson's face being sewn onto Tyler's. It also features a snippet of the song ""911"" at the end of the track. Who Dat Boy ""Who Dat Boy"" is a song by American rapper Tyler, the Creator. It was released on June 30, 2017 alongside, ""911 / Mr. Lonely"" through Columbia Records, as the lead singles from his fourth studio

Who Dat Boy ""Who Dat Boy"" is a song by American rapper Tyler, the Creator. It was released on June 30, 2017 alongside, ""911 / Mr. Lonely"" through Columbia Records, as the lead singles from his fourth studio album ""Flower Boy"". The song features vocals from ASAP Rocky. Tyler, the Creator began a one-week countdown on Twitter and Instagram to promote and release the two dual-singles called ""Who Dat Boy"" and ""911 / Mr. Lonely"" on June 30, 2017. The single is Tyler, the Creator's highest charting single to date debuting at 87 on the ""Billboard"" Hot 100. The song

before the announced release date of July 21. After a one-week countdown on Twitter and Instagram, Tyler, the Creator released a music video, titled ""Who Dat Boy"", to his official YouTube channel on June 29, 2017. The album's lead single, ""Who Dat Boy"" / ""911"", containing two songs: ""Who Dat Boy"" and ""911 / Mr. Lonely"" was released on June 30, 2017. The single peaked at number 87 on the US ""Billboard"" Hot 100. The album's second single, ""Boredom"", was released on July 11, 2017. The album's third single, ""I Ain't Got Time!"", was released on July 19, 2017. The","""Who Dat Boy"" was released alongside ""911/Mr. Lonely"".",question_relevance;primary_category,2,PASS,FAIL,CLEAR,ENTAILED,INVALID,Cat1,medium,"Tyler, the Creator began a one-week countdown on Twitter and Instagram to promote and release the two dual-singles called ""Who Dat Boy"" and ""911 / Mr.",Release pairing does not establish which song appears at the end of the video.,PASS,PASS,CLEAR,ENTAILED,Cat1,HIGH,"Tyler, the Creator began a one-week countdown on Twitter and Instagram to promote and release the two dual-singles called ""Who Dat Boy"" and ""911 / Mr. || The album's lead single, ""Who Dat Boy"" / ""911"", containing two songs: ""Who Dat Boy"" and ""911 / Mr.","Primary operation: direct entity, alias, attribute, membership, or lexical relation.",PASS,FAIL,CLEAR,ENTAILED,INVALID
60,Was Beyond the Gates of Splendor or Jesus Camp released first?,"Beyond the Gates of Splendor (also Beyond the Gates) is a feature-length documentary film that was released in 2004.Jesus Camp is a 2006 American documentary film directed by Rachel Grady and Heidi Ewing about a Charismatic Christian summer camp, where children spend their summers being taught that they have ""prophetic gifts"" and can ""take back America for Christ"".",The five American missionaries were Ed McCully.,atomicity,1,FAIL,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat1,high,"Beyond the Gates of Splendor (also Beyond the Gates) is a feature-length documentary film that was released in 2004.Jesus Camp is a 2006 American documentary film directed by Rachel Grady and Heidi Ewing about a Charismatic Christian summer camp, where children spend their summers being taught that ",Malformed identity statement and unrelated to the release-order question.,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,HIGH,"Beyond the Gates of Splendor (also Beyond the Gates) is a feature-length documentary film that was released in 2004.Jesus Camp is a 2006 American documentary film directed by Rachel Grady and Heidi Ewing about a Charismatic Christian summer camp, where children spend their summers being taught that ",INVALID: Unrelated missionary claim does not compare release years.,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID
76,Who publishes a horror game with protagonist Ellie?,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainment for PlayStation 4.",Sony Interactive Entertainment's notable studios include PlayStation All-Stars 17.,evidence_clarity,1,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat1,high,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainm",Studio claim is unrelated to the requested publisher and unsupported.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,HIGH,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainm",INVALID: Malformed studio claim does not identify the publisher.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID
77,"What shopping centre located in Kuala Lumpur, Malaysia does KLCC District Cooling provide district cooling for?","KLCC District Cooling is a building that is used to provide district cooling for the KLCC vicinity. It is a 30,000 ton gas-powered turbine-driven chilled water unit providing cool air not only to Petronas Twin Towers and Suria KLCC, but also to Maxis Tower, Menara Exxon Mobil, Kuala Lumpur Convention Centre, and Mandarin Oriental Kuala Lumpur as well as As Syakirin Mosque.Suria KLCC is a shopping centre located in central Kuala Lumpur, Malaysia.","KLCC District Cooling provides district cooling for several religious buildings in Kuala Lumpur, Malaysia.",evidence_relation,1,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat3,medium,"It is a 30,000 ton gas-powered turbine-driven chilled water unit providing cool air not only to Petronas Twin Towers and Suria KLCC, but also to Maxis Tower, Menara Exxon Mobil, Kuala Lumpur Convention Centre, and Mandarin Oriental Kuala Lumpur as well as As Syakirin Mosque.Suria KLCC is a shopping ",Religious-building quantity is not responsive to the shopping-centre question and is not established as 'several'.,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,HIGH,"KLCC District Cooling is a building that is used to provide district cooling for the KLCC vicinity. || It is a 30,000 ton gas-powered turbine-driven chilled water unit providing cool air not only to Petronas Twin Towers and Suria KLCC, but also to Maxis Tower, Menara Exxon Mobil, Kuala Lumpur Convention Centre, and Mandarin Oriental Kuala Lumpur as well as As Syakirin Mosque.Suria KLCC is a shopping ",INVALID: Does not identify the shopping centre and overstates the number of religious buildings.,PASS,FAIL,CLEAR,CONTRADICTED,INVALID
