legacy_id,question,context,factoid,old_category,old_support,A_atomicity,A_question_relevance,A_evidence_clarity,A_evidence_relation,A_primary_category,B_atomicity,B_question_relevance,B_evidence_clarity,B_evidence_relation,B_primary_category,final_label_source,adjudicator_raw_atomicity,adjudicator_raw_question_relevance,adjudicator_raw_evidence_clarity,adjudicator_raw_evidence_relation,adjudicator_raw_primary_category,final_atomicity,final_question_relevance,final_evidence_clarity,final_evidence_relation,final_primary_category,final_support_binary,final_eligibility,legacy_action,changed_dimensions
11,Who sang i can't let maggie go?,"I Can't Let Maggie Go ""I Can't Let Maggie Go"" is a song by the British pop group Honeybus from early 1968. Written by band member Pete Dello, it was released as a non-album single. The song became an international Top 20 hit, reaching number 13 in New Zealand and number 11 in Ireland. It did best in their native United Kingdom, where it reached number eight in the UK Singles Chart. ""I Can't Let Maggie Go"" was included on the group's later compilation LPs, ""Honeybus at Their Best"" and ""Old Masters Hidden Treasures"". The song was also a top

with 1968's ""I Can't Let Maggie Go"", which was so popular that it earned the band a cover photo on the popular music magazine, ""Disc and Music Echo"", for which they posed atop a red London bus. ""I Can't Let Maggie Go"" reached Number 8 in the UK Singles Chart, in April 1968, staying in the Top 40 for over two months. Dello resigned in August 1968. The band recruited Jim Kelly on guitar and vocals to replace him and Cane began songwriting and performing lead vocals. This line-up scored minor successes with ""She Sold Blackpool Rock"" and ""Girl Of

10 hit in Italy, with a 1968 version made by Equipe 84, entitled ""Un angelo blu"" (""A blue angel""). It enjoyed an unexpected reprise in popularity in the 1970s, when it was used as the soundtrack for a television advertisement for ""Nimble"", a bread produced for slimmers. ""I Can't Let Maggie Go"" has been covered by J. Vincent Edwards in 1974, as well as by the Sideburns in 1993. David Essex included his own version on the 2005 compilation album, ""The Complete Collection"". I Can't Let Maggie Go ""I Can't Let Maggie Go"" is a song by the British pop","The song ""I Can't Let Maggie Go"" was released in early 1968.",Cat4,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
12,"What Carnegie library building located in the most populous city in Kansas was built in 1915, and listed on the National Register of Historic Places in 1987?","The Wichita City Carnegie Library Building located at 220 S. Main Street in Wichita, Kansas, Sedgwick County, Kansas, United States, is a Carnegie library built in 1915. It was listed on the National Register of Historic Places in 1987. The county seat is Wichita, the most populous city in the state.",The Carnegie Library in Wichita was built in 1915.,Cat4,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat4,PASS,PASS,CLEAR,ENTAILED,Cat4,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat4,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
13,Where does anything you can do i can do better come from?,"Anything You Can Do (I Can Do Better) ""Anything You Can Do"" is a song composed by Irving Berlin for the 1946 Broadway musical ""Annie Get Your Gun"". The song is a duet, with one male singer and one female singer attempting to outdo each other in increasingly complex tasks. In the musical, the song sets the scene for the climactic sharpshooting contest between Annie Oakley and Frank Butler. Its most memorable lines are, ""Anything you can do I can do better; I can do anything better than you."" The song was first performed in ""Annie Get Your Gun"" by

Ethel Merman and Ray Middleton. During the song, they argue playfully about who can, for example, sing softer, sing higher, sing sweeter, and hold a note for longer, and boast of their abilities and accomplishments, such as opening safes and living on bread and cheese, although Annie always seems to counter Frank's argument. Neither can ""bake a pie,"" though. Anything You Can Do (I Can Do Better) ""Anything You Can Do"" is a song composed by Irving Berlin for the 1946 Broadway musical ""Annie Get Your Gun"". The song is a duet, with one male singer and one female singer

choosing the occupation of ""newspaper carrier"" was required to ride a bicycle down a narrow yellow line (without veering from it) and throw several newspapers at targets. She lost control of the bicycle, fell to the studio floor, and apparently broke a bone. Wood mentioned other contestants being injured as well. The title of the show is inspired by a 1946 song called ""Anything You Can Do, I Can Do Better"" from the hit broadway musical ""Annie Get Your Gun"" (composed by Irving Berlin) as a sprirted duet with one male singer and one female singer attempting to outdo each","The male singer and the female singer in the duet ""Anything You Can Do (I Can Do Better)"" attempt to outdo each other.",Cat5,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
14,"Based on the release years provided in the text, how many years after ""Puss in Boots"" was its sequel ""Puss in Boots: The Three Diablos"" released?","Puss in Boots: The Three Diablos is a 2012 American computer-animated short comedy film, and a sequel to ""Puss in Boots"".Puss in Boots is a 2011 American 3D computer-animated fantasy action comedy film produced by DreamWorks Animation and distributed by Paramount Pictures.",1 year,Cat6,SUPPORTED,FAIL,PASS,CLEAR,ENTAILED,INVALID,FAIL,PASS,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,FAIL,PASS,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
15,"Which was founded first, Stellenbosch University or Wayne State University?"," Stellenbosch is jointly the oldest university in South Africa and the oldest extant university in Sub-Saharan Africa alongside the University of Cape Town which received full university status on the same day in 1918. Founded in 1868, WSU consists of 13 schools and colleges offering nearly 350 programs to more than 27,000 graduate and undergraduate students.",WSU consists of 13 schools and colleges.,Cat7,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
16,"State Route 126 connects Lewiston and which official Town of Washington and town in Knox County, Maine?","State Route 126 (SR 126) is a state highway in central Maine connecting Lewiston and Washington.Washington, officially the Town of Washington, is a town in Knox County, Maine.",State Route 126 connects Lewiston and Camden.,Cat7,UNSUPPORTED,PASS,PASS,CLEAR,CONTRADICTED,Cat1,PASS,PASS,CLEAR,CONTRADICTED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,CONTRADICTED,Cat1,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY
17,The cover art for EA Sports UFC 2 features Ronda Rousey and a boxer born in what year?," The game's cover art features Ronda Rousey and Conor McGregor.Conor Anthony McGregor (Irish: ""Conchúr Antóin Mac Gréagóir"" ; born 14 July 1988) is an Irish professional mixed martial artist and professional boxer who is currently signed to the Ultimate Fighting Championship (UFC).",The cover art for EA Sports UFC 2 features a boxer born in 1987.,Cat4,UNSUPPORTED,PASS,PASS,CLEAR,CONTRADICTED,Cat4,PASS,PASS,CLEAR,CONTRADICTED,Cat4,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,CONTRADICTED,Cat4,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
18,Where is the telephone area code 571 located?,"introduced on March 1, 2000, as an overlay to 703. Area code 571 serves most new telephone numbers; while it is primarily associated with mobile telephone lines, it is also used for new landline numbers, including the United States Patent and Trademark Office upon moving to Alexandria; the Transportation Security Administration, which was created in 2001 and has its headquarters in Arlington; and the Fairfax County Public Schools, which moved its headquarters to the Falls Church area in 2006. Although former competitors Bell Atlantic (a former Baby Bell) and GTE had assigned geographical monopolies varying by region in Virginia, they

of 703 and 571, 10-digit dialing is mandatory even for local calls; cellphone callers do the same on all direct-dialled calls. Long-distance calls are dialed as eleven digits, using the prefix ""1"", but for landline-based phones only. Area code 703 and the overlay area code 571 serve the following cities and towns in Virginia: Alexandria, Annandale, Ashburn, Burke, Centreville, Chantilly, Dale City, Fairfax, Falls Church, Franconia, Great Falls, Groveton, Herndon, Lake Ridge, Leesburg, Lorton, Manassas, Manassas Park, McLean, Mount Vernon, North Springfield, Oakton, Occoquan, Reston, South Riding, Springfield, Sterling, Vienna, West Springfield, and Woodbridge, plus all or part of these

Area codes 703 and 571 Area codes 703 and 571 are the North American Numbering Plan telephone area codes for northern Virginia, including the independent cities of Alexandria, Fairfax, Falls Church, Manassas, and Manassas Park, as well as all of Arlington and Fairfax counties and parts of Fauquier, Loudoun, Prince William, and Stafford counties. The main area code, 703, was created as one of the original 86 North American area codes in October 1947, and originally served the entire Commonwealth of Virginia. Area code 571 was created on March 1, 2000 as an overlay to 703. Because of the overlay",The telephone area code 571 belongs to the general area of Northern Virginia.,Cat7,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY
19,How many video games featuring the character Ellie are explicitly mentioned in the text?,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainment for PlayStation 4.",2,Cat6,SUPPORTED,FAIL,PASS,CLEAR,ENTAILED,INVALID,FAIL,PASS,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,FAIL,PASS,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
20,"Where does the American rock band Drowning Pool, named after a movie, who feature on the official soundtrack for the film 'The Punisher', hail from?","The Punisher: The Album is the official soundtrack for the film ""The Punisher"" and was released in 2004 by Wind-up Records. Its lead singles were ""Broken"" by Seether and Evanescence frontwoman Amy Lee, ""Step Up"" by Drowning Pool, and ""Eyes Wired Shut"" by Edgewater, all of which have accompanying music videos.Drowning Pool is an American rock band formed in Dallas, Texas in 1996. The band was named after the film ""The Drowning Pool"".",Dallas is a city.,Cat1,SUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
21,Where does anything you can do i can do better come from?,"Anything You Can Do (I Can Do Better) ""Anything You Can Do"" is a song composed by Irving Berlin for the 1946 Broadway musical ""Annie Get Your Gun"". The song is a duet, with one male singer and one female singer attempting to outdo each other in increasingly complex tasks. In the musical, the song sets the scene for the climactic sharpshooting contest between Annie Oakley and Frank Butler. Its most memorable lines are, ""Anything you can do I can do better; I can do anything better than you."" The song was first performed in ""Annie Get Your Gun"" by

Ethel Merman and Ray Middleton. During the song, they argue playfully about who can, for example, sing softer, sing higher, sing sweeter, and hold a note for longer, and boast of their abilities and accomplishments, such as opening safes and living on bread and cheese, although Annie always seems to counter Frank's argument. Neither can ""bake a pie,"" though. Anything You Can Do (I Can Do Better) ""Anything You Can Do"" is a song composed by Irving Berlin for the 1946 Broadway musical ""Annie Get Your Gun"". The song is a duet, with one male singer and one female singer

choosing the occupation of ""newspaper carrier"" was required to ride a bicycle down a narrow yellow line (without veering from it) and throw several newspapers at targets. She lost control of the bicycle, fell to the studio floor, and apparently broke a bone. Wood mentioned other contestants being injured as well. The title of the show is inspired by a 1946 song called ""Anything You Can Do, I Can Do Better"" from the hit broadway musical ""Annie Get Your Gun"" (composed by Irving Berlin) as a sprirted duet with one male singer and one female singer attempting to outdo each",Neither of the two singers in the duet 'Anything You Can Do' can bake a pie.,Cat3,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
22,"What is the name of the Tindersticks' soundtrack for which the film, written by Denis and Jean-Pol Fargeau, is also named?","Trouble Every Day is the name of Tindersticks' soundtrack to French director Claire Denis's 2001 film ""Trouble Every Day"".Trouble Every Day is a 2001 French erotic horror film directed by Claire Denis and written by Denis and Jean-Pol Fargeau.",The title of the work is Trouble Every Day.,Cat1,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
23,"Lee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama filmLee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama film, Mulberry, based on the eponymous classic story, by who?"," One of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include Bae Chang-ho's ""Whale Hunting"" and ""The Winter That Year Was Warm"", Lee Doo-yong's ""Mulberry"" and ""Eunuch"", and Kwak Ji-kyoon's ""Wanderer in Winter"". Based on the eponymous classic story by Na Do-hyang, the film became known for its erotic subject matter, made possible by the government's gradual relaxation of censorship and control over the film industry during the 1980s.","The director of ""Mulberry"" is not specified.",Cat2,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FALL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
24,Josh Aubrey played college football at a school in what city?," He played college football at Stephen F. Austin State University.Stephen F. Austin State University (SFA) is a public university located in Nacogdoches, Texas, United States.",Nacogdoches is in Texas.,Cat7,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY
25,"What is the name of the magazine that Funk & Wagnalls published thateventually merged with two similar weekly magazines, ""Public Opinion"" and ""Current Opinion""? "," Funk & Wagnalls Company published The Literary Digest, ""The Standard Dictionary of the English Language"", and ""Funk & Wagnalls Standard Encyclopedia"", Founded by Isaac Kaufmann Funk in 1890, it eventually merged with two similar weekly magazines, ""Public Opinion"" and ""Current Opinion"".","The magazine merged with ""Current Opinion"".",Cat7,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,FAIL,CLEAR,ENTAILED,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FAIL,CLEAR,ENTAILED,Cat1,PASS,FAIL,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY
26,"Which award did this fine dining restaurant, located in a town of a population of 6,025 as of 2010, win in 1992?","The 1686 House is a fine dining restaurant in Kingston, New Hampshire, USA, that is best known for its extensive wine list and colonial decor. In 1992, it won one of the six 1992 Grand Awards for Outstanding Restaurant Wine Lists given by ""Wine Spectator"". The population at the 2010 census was 6,025.",Grand Awards is a competition for the best of the best.,Cat5,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
27,"What 1982 film, aired in 1983, was the seventh highest rated non-sports show and featured Kansas state highway K-10?","K-10 is a 38-mile (61 km) state highway in the U.S. state of Kansas. Several scenes for the TV-movie ""The Day After"" were filmed on the highway in 1982 portraying a mass exodus evacuating the Kansas City area on I-70.The Day After is an American television film that first aired on November 20, 1983, on the ABC television network. With a 46 rating and a 62% share of the viewing audience during its initial broadcast, it was the seventh highest rated non-sports show up to that time and set a record as the highest-rated television film in history—a record it still held as recently as a 2009 report.",The Day After was one of the highest-rated television films in history.,Cat5,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat5,PASS,PASS,CLEAR,ENTAILED,Cat5,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat5,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
28,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?," It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.",Apple TV is not a stand-alone display device.,Cat2,SUPPORTED,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,PASS,PASS,AMBIGUOUS,ENTAILED,Cat2,THIRD_PERSON_ADJUDICATION,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,UNSUPPORTED,ELIGIBLE,RELABEL,SUPPORT
29,Girard city is located in a county with how many inhabitants ?,"Girard is a city in and the county seat of Crawford County, Kansas, United States. As of the 2010 census, the county population was 39,134.","The county with Girard city has around 40,000 inhabitants.",Cat6,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat6,PASS,PASS,CLEAR,ENTAILED,Cat6,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat6,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
30,"What band from Savannah, Georgia did the singer singer John Dyer Bailey sing for?"," Artwork and design were by Baroness singer John Dyer Baizley.Baroness is an American heavy metal band from Savannah, Georgia whose original members grew up together in Lexington, Virginia.",Baroness's lineup has changed over the years due to various reasons.,Cat4,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
31,In what year did the Uganda President's regime kill the first prime minister of Uganda?,"Benedicto Kagimu Mugumba Kiwanuka (8 May 1922 – 22 September 1972) was the first prime minister of Uganda, a leader of the Democratic Party, and one of the persons that led the country in the transition between colonial British rule and independence. He was murdered by Idi Amin's regime in 1972.Idi Amin Dada ( ;  1923 2816 August 2003) was a Ugandan political leader and military officer who was the President of Uganda from 1971 to 1979.",The first prime minister of Uganda was killed in the early 1970s.,Cat4,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat4,PASS,PASS,CLEAR,ENTAILED,Cat4,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat4,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
32,Which of the following airports can be accessed from Fairbanks via the Elliot and Dalton highways: Deadhorse Airport or Evansville Regional Airport?,"Deadhorse Airport (IATA: SCC, ICAO: PASC, FAA LID: SCC) is a public airport located in Deadhorse on the North Slope of Alaska. It can be accessed from Fairbanks via the Elliott and Dalton highways.Evansville Regional Airport (IATA: EVV, ICAO: KEVV, FAA LID: EVV) is three miles north of Evansville, in Vanderburgh County, Indiana, United States.",Deadhorse Airport is an airport.,Cat1,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
33,"What is the nickname of the host for which ""Winner Take All"" is best known?"," The series was originally hosted by Ward Wilson, but is best known for being the first game hosted by Bill Cullen. His biggest claim to fame was as a game show host; over the course of his career, he hosted 23 shows, and earned the nickname ""Dean of Game Show Hosts"".",Bill Cullen hosted a total of fewer than five shows over the course of his career.,Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
