legacy_id,factoid,old_category,final_category,old_support,final_support,final_eligibility,action,changed_dimensions,final_label_source
17,The cover art for EA Sports UFC 2 features a boxer born in 1987.,Cat4,Cat4,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
18,The telephone area code 571 belongs to the general area of Northern Virginia.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
19,2,Cat6,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
20,Dallas is a city.,Cat1,INVALID,SUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
21,Neither of the two singers in the duet 'Anything You Can Do' can bake a pie.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
22,The title of the work is Trouble Every Day.,Cat1,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
23,"The director of ""Mulberry"" is not specified.",Cat2,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
24,Nacogdoches is in Texas.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
25,"The magazine merged with ""Current Opinion"".",Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
26,Grand Awards is a competition for the best of the best.,Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
27,The Day After was one of the highest-rated television films in history.,Cat5,Cat5,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
28,Apple TV is not a stand-alone display device.,Cat2,Cat2,SUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,SUPPORT,THIRD_PERSON_ADJUDICATION
29,"The county with Girard city has around 40,000 inhabitants.",Cat6,Cat6,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
30,Baroness's lineup has changed over the years due to various reasons.,Cat4,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
31,The first prime minister of Uganda was killed in the early 1970s.,Cat4,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
32,Deadhorse Airport is an airport.,Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
33,Bill Cullen hosted a total of fewer than five shows over the course of his career.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
34,"Brown v. Board of Education of Topeka, KS, was handed down on May 17, 1954.",Cat4,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,THIRD_PERSON_ADJUDICATION
35,The Saint John River (Bay of Fundy) is in New Brunswick.,Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
36,A maximum of seven games could be played in the 1989 World Series playoff.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
37,Mort Shuman partnered with Doc Pomus.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
38,M-69 Highway is located on Upper Michigan Peninsula.,Cat1,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
39,Franco Egidio Malerba was born first.,Cat4,Cat5,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
40,Trudy's nationality in The Single Guy is never explicitly revealed.,Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,THIRD_PERSON_ADJUDICATION
41,The events concerning Victor and Emily occur after the Victorian era.,Cat4,Cat4,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
42,Gary Braver is not a heavy metal band.,Cat2,Cat2,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
43,300 was made in a country.,Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
44,The West Lancashire Evening Gazette is part of the Newsquest media group.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
45,"Brasstown Bald has an elevation of 4,784 feet.",Cat6,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
46,Po Ping is a giant panda.,Cat1,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
47,Tony Rice is included among the several well-known acts and artists.,Cat3,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
48,The child actress began her career in 2006.,Cat4,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
49,The Stuart period included the English Civil War.,Cat1,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
50,Rock am Ring is one of the largest music festivals in the world.,Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
51,The three Academy Awards are for Best Original Song.,Cat6,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
52,The 1991 Major League Baseball All-Star Game was the 62nd playing of the midsummer classic.,Cat6,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
53,"In the absence of the Speaker of the Lok Sabha, the joint sitting of the Parliament is presided over by the Deputy Speaker of the Lok Sabha.",Cat2,Cat2,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
54,Ed Sheeran's grandparents got married at the Wexford border.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
55,Green & Black's was founded by Josephine Fairley.,Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
56,Steve Inskeep replaced the Peabody Award winner in 2004.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
57,"""Who Dat Boy"" was released alongside ""911/Mr. Lonely"".",Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
58,Paracelsus was a pioneer in several aspects of the medical revolution of the Renaissance.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
59,Hell's Angels (41-24577) was of the 303rd Bomb Group.,Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
60,The five American missionaries were Ed McCully.,Cat6,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
61,The awards include the Annie Award for Best Animated Feature.,Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
62,The Medal of Honor is the highest military decoration.,Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
63,Abuzar Aydamirov wrote lyrics in 1992 for the Russian national anthem.,Cat4,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
64,"David Campbell provided the singing voice for ""Better Than I"" in Joseph: King of Dreams.",Cat1,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
65,The song 'Nancy Mulligan' was included on Ed Sheeran's third studio album.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
66,James Matheson received the award in 2011.,Cat4,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
67,Silvestre Ochagavía Errázuriz was a member of the Academy of Medicine of Chile.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
68,"""Funnybot"" is the third episode of the fifteenth season of ""American Dad.""",Cat1,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
69,Every work directed by Brian Percival mentioned in the text is a feature film.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
70,The part of the shoulder a flat iron cut of meat comes from is under the seven bone.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
71,Derek Sherinian is the Literary Editor.,Cat1,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
72,"Needtobreathe's lyrics often explore themes of faith, hope, and redemption.",Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
73,"Prince Hamlet delivers the 'To be, or not to be' soliloquy after the play 'Hamlet' ends.",Cat4,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
74,The DAF XF has been updated several times since its launch.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
75,Tall Timber Short Lines is not an American politically progressive/democratic socialist monthly magazine.,Cat2,Cat2,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
76,Sony Interactive Entertainment's notable studios include PlayStation All-Stars 17.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
77,"KLCC District Cooling provides district cooling for several religious buildings in Kuala Lumpur, Malaysia.",Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
78,Avenged Sevenfold's seventh studio album was released at 8:45 PM.,Cat6,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
79,"The RMS ""Queen Mary 2"" was docked in New York City during The Greatest Showman's premiere.",Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
80,All actors starring in the movie Ghostbusters were original members of the Not Ready for Prime Time Players.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
81,"The five Aboriginal women are Deborah Mailman, Tammy Williams, Kathryn Hay, Liza Fraser-Gooda, and Marcia Ella-Duncan.",Cat6,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
82,Faxe is brewed all around the world.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
83,Bambi II is a direct-to-video film.,Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
84,New York was founded by the Dutch in 1624.,Cat4,Cat4,SUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,SUPPORT,THIRD_PERSON_ADJUDICATION
85,Lichfield Cathedral is the only medieval English cathedral with three spires.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
86,The owner of Gogebic Taconite is not a philanthropist.,Cat2,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
87,Love/Hate includes the Irish Film and Television Award for Best Drama.,Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
88,The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing.,Cat4,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
89,James Stockdale was not awarded the Medal of Honor.,Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
90,Allegiant Air's fleet primarily consists of McDonnell Douglas MD-80 aircraft.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
91,Apple TV is a client device for content CompactFlash Type XV.,Cat1,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
92,"In World War II a total of 1,056,841 African American registrants were inducted into the armed forces through Selective Service.",Cat6,Cat6,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
93,"The Greatest Showman's premiere was aboard the RMS ""Queen Mary 2"".",Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
94,Simple Plan is not from Glastonbury.,Cat2,Cat2,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
95,"The song ""Anything You Can Do (I Can Do Better)"" is a solo.",Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
96,"The magazine merged with ""Public Opinion"".",Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
97,Over ten people were killed.,Cat6,Cat3,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
98,Indiana University has the third-largest university campus in the United States.,Cat5,Cat5,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
99,Silvestre Ochagavía Errázuriz was a member of the Academy of Political and Social Sciences of Chile.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
100,Vikram Samvat is also known as Bikram Sambat.,Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
101,At least 22 people were killed.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
102,The Kung Fu Panda franchise remains one of the most beloved animated franchises of all time.,Cat5,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
103,"Jane Heathcote-Drummond-Willoughby, 28th Baroness Willoughby de Eresby is a member of the House of Lords.",Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
104,Walmart is the largest retailer in the United States.,Cat5,Cat5,SUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,SUPPORT,THIRD_PERSON_ADJUDICATION
105,The input is 41.,Cat6,INVALID,UNSUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
106,"In the states of Massachusetts and Maine, schools typically schedule spring break to coincide with Patriots' Day.",Cat4,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
107,"The song ""Nancy Mulligan"" tells the story of how Ed Sheeran's grandparents got married.",Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
108,The Lisunov Li-2 is ranked among the most significant transport aircraft across the entire history of aviation.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
109,Camp Half-Blood Chronicles is a series of books by Rick Riordan.,Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
110,6,Cat6,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
111,"""These Boots Are Made for Walkin'"" is a hit song.",Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
112,Sony Interactive Entertainment's notable studios include PlayStation All-Stars.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
113,Kënga Magjike includes a competition for the best song.,Cat7,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
114,Eduardo Chillida was not the founder of the Basque artistic group.,Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
115,Southwest Georgia Regional Airport is not in Tennessee.,Cat2,Cat2,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
116,The soldier was born in 1889.,Cat4,Cat4,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
117,COM LAG was released in March 2004.,Cat4,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
118,The Glorious Revolution is often described as bloodless.,Cat1,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
119,Rhapsody in Blue is one of the most popular American musical works.,Cat5,INVALID,UNSUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
120,Kevin Durant was selected as the third overall pick by the Memphis Grizzlies in the 2007 NBA draft.,Cat6,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
121,"Hamlet, Gertrude, Claudius, and Laertes all die by the end of the play.",Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
122,The 38th Ward alderman serves downtown.,Cat1,Cat1,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
123,Stella Mozgawa joined Warpaint in 2009.,Cat4,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
124,Silvestre Ochagavía Errázuriz was a member of the Academy of Dramatic Sciences of Chile.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
125,Rebecca Rippy played with several well-known acts and artists.,Cat3,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
126,Greenland is the world's largest island.,Cat5,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
127,Most of South Dakota is west of the longest river in North America.,Cat5,Cat3,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
128,The ribeye comes from ribs six through twelve.,Cat6,Cat3,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
129,The poem 'Desiderata' was widely known by everyone during Max Ehrmann's lifetime.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
130,Hans Hulsbosch designed the logo for the second-largest Australian airline after Qantas.,Cat5,Cat7,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,THIRD_PERSON_ADJUDICATION
131,"""Total Eclipse of the Heart"" is a song.",Cat1,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
132,"October 19, 1992 is a date.",Cat4,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
133,The Medal of Honor is not awarded to belligerent parties.,Cat2,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
134,"The Irvine, Warren, Kane & Johnsonburg Railroad was a partnership of Brock Railroad, Irvine Railroad, and Struthers Wells Inter-American Corporation.",Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
135,Trondheim is the third largest city in the country.,Cat5,Cat5,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
136,"A 1968 version of the song ""I Can't Let Maggie Go"" was made by Equipe 84.",Cat4,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
137,Hell's Angels (41-24577) became the second B-17 to complete the feat.,Cat5,Cat4,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
138,The first recorded use of a related phrase to the saying man best friend is by Frederick the Great of Prussia.,Cat5,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
139,The line of cars that the Ferrari TR were closely related to was only built between 1953 to 1961.,Cat3,Cat4,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
140,The voice actor was not disclosed.,Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
141,Silvestre Ochagavía Errázuriz was a member of the Academy of Cinematographic Sciences of Chile.,Cat7,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
142,Affirmative action is often implemented in employment.,Cat3,INVALID,SUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
143,"All the actors played in ""I Can Hear Your Voice"".",Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
144,The 1965 Nebraska Cornhuskers football team was a member of the Big Eight Conference.,Cat7,INVALID,SUPPORTED,SUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
145,Queen Charlotte's reign as Queen of Great Britain and Ireland lasted for a duration of less than a single year.,Cat3,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
146,Ulster County has orchards.,Cat1,INVALID,UNSUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,A_B_AGREEMENT
147,"The ""clear and present danger"" test was replaced in 1969 by ""Brandenburg v. Ohio"".",Cat4,Cat4,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
148,The Atlantic Ocean is larger than the Pacific Ocean.,Cat5,Cat5,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
149,Archduke Franz Ferdinand was not assassinated in 1914.,Cat2,Cat2,UNSUPPORTED,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
150,The Texas annexation resolution failed to specify the geographical boundary.,Cat2,Cat2,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,THIRD_PERSON_ADJUDICATION
151,Bill Champlin performed all of the lead vocals on the song 'I Don't Wanna Live Without Your Love'.,Cat3,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY,A_B_AGREEMENT
152,The telephone area code 571 is in parts of Prince William County.,Cat1,Cat1,SUPPORTED,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,,A_B_AGREEMENT
153,Apple TV is not a monitor.,Cat2,INVALID,SUPPORTED,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY,THIRD_PERSON_ADJUDICATION
