Dataset_ID,Manual_Review_Result,Modification_Details,Deletion_Details
haluevalqa-00654,Keep,,
haluevalqa-00656,Keep,,
haluevalqa-00659,Keep,,
haluevalqa-00671,Keep,,
haluevalqa-00672,Keep,,
haluevalqa-00673,Keep,,
haluevalqa-00674,Keep,,
haluevalqa-00680,Keep,,
haluevalqa-00681,Keep,,
haluevalqa-00683,Keep,,
haluevalqa-00688,Keep,,
haluevalqa-00703,Keep,,
haluevalqa-00704,Keep,,
haluevalqa-00706,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00707,Keep,,
haluevalqa-00711,Keep,,
haluevalqa-00712,Keep,,
haluevalqa-00713,Keep,,
haluevalqa-00714,Keep,,
haluevalqa-00715,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00716,Keep,,
haluevalqa-00717,Keep,,
haluevalqa-00718,Keep,,
haluevalqa-00719,Keep,,
haluevalqa-00724,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00725,Keep,,
haluevalqa-00727,Keep,,
haluevalqa-00732,Keep,,
haluevalqa-00733,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-00734,Keep,,
haluevalqa-00736,Keep,,
haluevalqa-00737,Keep,,
haluevalqa-00741,Keep,,
haluevalqa-00743,Keep,,
haluevalqa-00745,Keep,,
haluevalqa-00753,Keep,,
haluevalqa-00754,Keep,,
haluevalqa-00757,Keep,,
haluevalqa-00758,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00759,Keep,,
haluevalqa-00760,Keep,,
haluevalqa-00763,Keep,,
haluevalqa-00764,Keep,,
haluevalqa-00767,Keep,,
haluevalqa-00771,Keep,,
haluevalqa-00772,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00774,Keep,,
haluevalqa-00778,Keep,,
haluevalqa-00780,Keep,,
haluevalqa-00781,Keep,,
haluevalqa-00783,Keep,,
haluevalqa-00784,Keep,,
haluevalqa-00791,Keep,,
haluevalqa-00795,Keep,,
haluevalqa-00797,Keep,,
haluevalqa-00800,Keep,,
haluevalqa-00803,Keep,,
haluevalqa-00807,Keep,,
haluevalqa-00810,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00811,Keep,,
haluevalqa-00812,Keep,,
haluevalqa-00826,Keep,,
haluevalqa-00827,Keep,,
haluevalqa-00833,Keep,,
haluevalqa-00835,Keep,,
haluevalqa-00839,Keep,,
haluevalqa-00841,Keep,,
haluevalqa-00845,Keep,,
haluevalqa-00847,Keep,,
haluevalqa-00848,Keep,,
haluevalqa-00857,Keep,,
haluevalqa-00858,Keep,,
haluevalqa-00860,Keep,,
haluevalqa-00862,Keep,,
haluevalqa-00864,Keep,,
haluevalqa-00868,Keep,,
haluevalqa-00869,Keep,,
haluevalqa-00875,Keep,,
haluevalqa-00876,Keep,,
haluevalqa-00878,Keep,,
haluevalqa-00883,Keep,,
haluevalqa-00886,Keep,,
haluevalqa-00891,Keep,,
haluevalqa-00892,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00895,Keep,,
haluevalqa-00896,Keep,,
haluevalqa-00900,Keep,,
haluevalqa-00901,Keep,,
haluevalqa-00902,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00905,Keep,,
haluevalqa-00910,Keep,,
haluevalqa-00912,Keep,,
haluevalqa-00914,Keep,,
haluevalqa-00917,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00918,Keep,,
haluevalqa-00920,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00925,Keep,,
haluevalqa-00930,Keep,,
haluevalqa-00933,Keep,,
haluevalqa-00934,Keep,,
haluevalqa-00935,Keep,,
haluevalqa-00942,Keep,,
haluevalqa-00944,Keep,,
haluevalqa-00945,Keep,,
haluevalqa-00948,Keep,,
haluevalqa-00949,Keep,,
haluevalqa-00950,Keep,,
haluevalqa-00954,Keep,,
haluevalqa-00955,Keep,,
haluevalqa-00963,Keep,,
haluevalqa-00966,Keep,,
haluevalqa-00968,Keep,,
haluevalqa-00971,Keep,,
haluevalqa-00975,Keep,,
haluevalqa-00978,Keep,,
haluevalqa-00981,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00982,Keep,,
haluevalqa-00983,Keep,,
haluevalqa-00984,Keep,,
haluevalqa-00985,Keep,,
haluevalqa-00987,Keep,,
haluevalqa-00989,Keep,,
haluevalqa-00990,Keep,,
haluevalqa-00996,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-00999,Keep,,
haluevalqa-01000,Keep,,
haluevalqa-01003,Keep,,
haluevalqa-01005,Modified,"hallucinated_answer: ""Out of the six most common styles of playing of the Indian tabla, Pandit Kishan Maharaj belonged to the Benares gharānā."" -> ""Pandit Kishan Maharaj belonged to the Delhi gharānā.""",
haluevalqa-01006,Keep,,
haluevalqa-01007,Keep,,
haluevalqa-01009,Keep,,
haluevalqa-01011,Keep,,
haluevalqa-01014,Keep,,
haluevalqa-01015,Keep,,
haluevalqa-01021,Keep,,
haluevalqa-01022,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01023,Keep,,
haluevalqa-01026,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01027,Keep,,
haluevalqa-01029,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-01031,Keep,,
haluevalqa-01032,Keep,,
haluevalqa-01038,Keep,,
haluevalqa-01042,Keep,,
haluevalqa-01043,Keep,,
haluevalqa-01044,Keep,,
haluevalqa-01049,Keep,,
haluevalqa-01052,Keep,,
haluevalqa-01054,Keep,,
haluevalqa-01057,Keep,,
haluevalqa-01058,Keep,,
haluevalqa-01059,Keep,,
haluevalqa-01060,Keep,,
haluevalqa-01061,Keep,,
haluevalqa-01062,Keep,,
haluevalqa-01064,Keep,,
haluevalqa-01070,Keep,,
haluevalqa-01073,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01076,Keep,,
haluevalqa-01082,Keep,,
haluevalqa-01083,Keep,,
haluevalqa-01088,Keep,,
haluevalqa-01089,Keep,,
haluevalqa-01090,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01095,Keep,,
haluevalqa-01098,Keep,,
haluevalqa-01099,Keep,,
haluevalqa-01100,Keep,,
haluevalqa-01101,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01105,Keep,,
haluevalqa-01109,Keep,,
haluevalqa-01110,Keep,,
haluevalqa-01111,Keep,,
haluevalqa-01113,Keep,,
haluevalqa-01114,Keep,,
haluevalqa-01115,Keep,,
haluevalqa-01116,Keep,,
haluevalqa-01125,Keep,,
haluevalqa-01134,Keep,,
haluevalqa-01141,Keep,,
haluevalqa-01142,Keep,,
haluevalqa-01147,Keep,,
haluevalqa-01152,Keep,,
haluevalqa-01154,Keep,,
haluevalqa-01155,Deleted,,"Weak/ambiguous negative: the hallucinated answer is too weak, approximate, ambiguous, or otherwise unstable as a negative example."
haluevalqa-01160,Keep,,
haluevalqa-01161,Keep,,
haluevalqa-01164,Keep,,
haluevalqa-01165,Keep,,
haluevalqa-01168,Keep,,
haluevalqa-01172,Keep,,
haluevalqa-01174,Keep,,
haluevalqa-01177,Keep,,
haluevalqa-01180,Keep,,
haluevalqa-01182,Keep,,
haluevalqa-01183,Keep,,
haluevalqa-01184,Keep,,
haluevalqa-01185,Keep,,
haluevalqa-01187,Keep,,
haluevalqa-01188,Keep,,
haluevalqa-01190,Keep,,
haluevalqa-01191,Keep,,
haluevalqa-01192,Keep,,
haluevalqa-01193,Keep,,
haluevalqa-01195,Keep,,
haluevalqa-01196,Keep,,
haluevalqa-01200,Keep,,
haluevalqa-01201,Keep,,
haluevalqa-01202,Keep,,
haluevalqa-01204,Keep,,
haluevalqa-01205,Keep,,
haluevalqa-01206,Keep,,
haluevalqa-01207,Keep,,
haluevalqa-01211,Keep,,
haluevalqa-01212,Keep,,
haluevalqa-01213,Keep,,
haluevalqa-01215,Keep,,
haluevalqa-01216,Keep,,
haluevalqa-01218,Keep,,
haluevalqa-01221,Keep,,
haluevalqa-01223,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01225,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01226,Keep,,
haluevalqa-01232,Keep,,
haluevalqa-01233,Keep,,
haluevalqa-01235,Keep,,
haluevalqa-01238,Keep,,
haluevalqa-01239,Keep,,
haluevalqa-01241,Keep,,
haluevalqa-01244,Keep,,
haluevalqa-01245,Keep,,
haluevalqa-01250,Keep,,
haluevalqa-01254,Keep,,
haluevalqa-01255,Keep,,
haluevalqa-01258,Keep,,
haluevalqa-01262,Keep,,
haluevalqa-01264,Keep,,
haluevalqa-01272,Keep,,
haluevalqa-01277,Keep,,
haluevalqa-01278,Keep,,
haluevalqa-01281,Keep,,
haluevalqa-01290,Keep,,
haluevalqa-01302,Keep,,
haluevalqa-01307,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01310,Keep,,
haluevalqa-01312,Keep,,
haluevalqa-01315,Keep,,
haluevalqa-01320,Keep,,
haluevalqa-01322,Keep,,
haluevalqa-01323,Keep,,
haluevalqa-01324,Keep,,
haluevalqa-01325,Keep,,
haluevalqa-01326,Keep,,
haluevalqa-01332,Keep,,
haluevalqa-01335,Keep,,
haluevalqa-01336,Keep,,
haluevalqa-01339,Keep,,
haluevalqa-01345,Keep,,
haluevalqa-01349,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01352,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01355,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01356,Keep,,
haluevalqa-01359,Keep,,
haluevalqa-01360,Keep,,
haluevalqa-01365,Keep,,
haluevalqa-01366,Keep,,
haluevalqa-01369,Keep,,
haluevalqa-01371,Keep,,
haluevalqa-01373,Keep,,
haluevalqa-01376,Keep,,
haluevalqa-01379,Keep,,
haluevalqa-01383,Keep,,
haluevalqa-01390,Keep,,
haluevalqa-01391,Keep,,
haluevalqa-01392,Keep,,
haluevalqa-01397,Keep,,
haluevalqa-01402,Keep,,
haluevalqa-01405,Keep,,
haluevalqa-01407,Keep,,
haluevalqa-01408,Keep,,
haluevalqa-01410,Keep,,
haluevalqa-01413,Keep,,
haluevalqa-01414,Keep,,
haluevalqa-01418,Keep,,
haluevalqa-01421,Keep,,
haluevalqa-01425,Keep,,
haluevalqa-01427,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01428,Keep,,
haluevalqa-01430,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01432,Keep,,
haluevalqa-01434,Keep,,
haluevalqa-01437,Keep,,
haluevalqa-01438,Keep,,
haluevalqa-01450,Keep,,
haluevalqa-01453,Keep,,
haluevalqa-01454,Keep,,
haluevalqa-01455,Keep,,
haluevalqa-01457,Keep,,
haluevalqa-01458,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01459,Keep,,
haluevalqa-01463,Keep,,
haluevalqa-01464,Keep,,
haluevalqa-01465,Keep,,
haluevalqa-01469,Keep,,
haluevalqa-01470,Keep,,
haluevalqa-01472,Keep,,
haluevalqa-01473,Keep,,
haluevalqa-01476,Keep,,
haluevalqa-01478,Keep,,
haluevalqa-01479,Keep,,
haluevalqa-01481,Keep,,
haluevalqa-01485,Keep,,
haluevalqa-01486,Keep,,
haluevalqa-01488,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01489,Keep,,
haluevalqa-01490,Keep,,
haluevalqa-01491,Keep,,
haluevalqa-01492,Keep,,
haluevalqa-01494,Keep,,
haluevalqa-01496,Keep,,
haluevalqa-01497,Keep,,
haluevalqa-01499,Keep,,
haluevalqa-01504,Keep,,
haluevalqa-01506,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01514,Keep,,
haluevalqa-01517,Keep,,
haluevalqa-01518,Keep,,
haluevalqa-01522,Keep,,
haluevalqa-01526,Keep,,
haluevalqa-01527,Keep,,
haluevalqa-01528,Keep,,
haluevalqa-01529,Keep,,
haluevalqa-01530,Keep,,
haluevalqa-01533,Keep,,
haluevalqa-01534,Keep,,
haluevalqa-01538,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01539,Keep,,
haluevalqa-01540,Keep,,
haluevalqa-01548,Keep,,
haluevalqa-01549,Keep,,
haluevalqa-01551,Keep,,
haluevalqa-01558,Keep,,
haluevalqa-01565,Keep,,
haluevalqa-01567,Keep,,
haluevalqa-01568,Keep,,
haluevalqa-01570,Keep,,
haluevalqa-01571,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01578,Keep,,
haluevalqa-01580,Keep,,
haluevalqa-01585,Keep,,
haluevalqa-01588,Keep,,
haluevalqa-01589,Keep,,
haluevalqa-01592,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01605,Keep,,
haluevalqa-01606,Keep,,
haluevalqa-01610,Keep,,
haluevalqa-01612,Keep,,
haluevalqa-01613,Keep,,
haluevalqa-01614,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01617,Keep,,
haluevalqa-01618,Keep,,
haluevalqa-01619,Keep,,
haluevalqa-01622,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01623,Keep,,
haluevalqa-01625,Keep,,
haluevalqa-01626,Keep,,
haluevalqa-01631,Keep,,
haluevalqa-01636,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01637,Keep,,
haluevalqa-01646,Keep,,
haluevalqa-01650,Keep,,
haluevalqa-01653,Keep,,
haluevalqa-01656,Keep,,
haluevalqa-01659,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01661,Keep,,
haluevalqa-01662,Keep,,
haluevalqa-01663,Keep,,
haluevalqa-01665,Keep,,
haluevalqa-01666,Keep,,
haluevalqa-01667,Keep,,
haluevalqa-01668,Keep,,
haluevalqa-01669,Keep,,
haluevalqa-01670,Keep,,
haluevalqa-01671,Keep,,
haluevalqa-01673,Keep,,
haluevalqa-01674,Deleted,,Supported/equivalent hallucinated answer: the hallucinated answer is supported by the context or semantically equivalent to the correct answer.
haluevalqa-01677,Keep,,
haluevalqa-01678,Keep,,
haluevalqa-01680,Keep,,
haluevalqa-01681,Keep,,
haluevalqa-01682,Keep,,
haluevalqa-01683,Keep,,
haluevalqa-01689,Keep,,
haluevalqa-01690,Keep,,
haluevalqa-01695,Keep,,
haluevalqa-01696,Keep,,
haluevalqa-01700,Keep,,
haluevalqa-01702,Modified,"right_answer: ""The 2017 Macanese general election took place on 17 September 2017 according to the provisions of the Basic Law of Macau."" -> ""Yes, Macau elects a legislature on the national level.""",
haluevalqa-01714,Keep,,
haluevalqa-01715,Keep,,
haluevalqa-01718,Keep,,
haluevalqa-01732,Keep,,
