id,source_order,source_dataset,source_id,question,context,factoid,atomicity,question_relevance,primary_category,category_name,context_support,evidence_clarity,annotator_id
REP_0034,34,ASQA,45,Who wrote the book of the new testament?,"authorship has been attributed either to John the Apostle (in which case it is often thought that John the Apostle is John the Evangelist, i.e. author of the Gospel of John) or to another John designated ""John of Patmos"" after the island where the text says the revelation was received (1:9). Some ascribe the writership date as circa 81–96 AD, and others at around 68 AD. The work opens with letters to seven churches and thereafter takes the form of an apocalypse, a literary genre popular in ancient Judaism and Christianity. The order in which the books of the New

letter composed under the guise of a presumably lost letter of the Apostle Paul, the Epistle to the Laodiceans. The books of the New Testament were all or nearly all written by Jewish Christians—that is, Jewish disciples of Christ, who lived in the Roman Empire, and under Roman occupation. Luke, who wrote the Gospel of Luke and the Book of Acts, is frequently thought of as an exception; scholars are divided as to whether Luke was a Gentile or a Hellenistic Jew. A few scholars identify the author of the Gospel of Mark as probably a Gentile, and similarly for

misrepresented. Such works include the following: Some Christian scholars maintain that nothing known to be pseudepigraphical was admitted to the New Testament canon. However, reputable biblical scholars, such as Dr. Bart D. Ehrman, have demonstrated that only seven of Paul's epistles are convincingly genuine. All of the other 20 books in the New Testament appear to be written by unknown people who were not the well-known biblical figures to whom the early Christian leaders originally attributed authorship. Even the Catholic Church has admitted that the New Testament Gospels are pseudepigraphical. The Catholic Encyclopedia notes, The first four historical books of

The Gospel of Luke and the Acts of the Apostles were both written by the same author, and are thus referred to as the Lucan texts. The most direct evidence comes from the prefaces of each book; both were addressed to Theophilus, and the preface to the Acts of the Apostles references ""my former book"" about the ministry of Jesus. Furthermore, there are linguistic and theological similarities between the two works, suggesting that they have a common author. The Pauline epistles are the thirteen books in the New Testament traditionally attributed to Paul of Tarsus. The anonymous Epistle to the

Testament overlaps with the Hebrew Bible and the Greek Septuagint; the Hebrew Bible is known in Judaism as the Tanakh. The New Testament is a collection of writings by early Christians, believed to be mostly Jewish disciples of Christ, written in first-century Koine Greek. These early Christian Greek writings consist of Gospels, letters, and apocalyptic writings. Among Christian denominations there is some disagreement about what should be included in the canon, primarily about the Apocrypha, a list of works that are regarded with varying levels of respect. Attitudes towards the Bible also differ amongst Christian groups. Roman Catholics, high church",None of the books of the New Testament were written by Jewish Christians.,PASS,FAIL,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0035,35,ASQA,199,The festival of holi marks the end of winter and the beginning of?,"Holi Holi (; ""Holī"") is a Hindu spring festival, originating from the Indian subcontinent, celebrated predominantly in India, but has also spread to other areas of Asia and parts of the Western world through the diaspora from the Indian subcontinent, also known as the ""festival of colours"" or the ""festival of love"". The festival signifies the victory of good over evil, the arrival of spring, end of winter, and for many a festive day to meet others, play and laugh, forget and forgive, and repair broken relationships. It is also celebrated as a thanksgiving for a good harvest. It lasts

to throw coloured water at friends or strangers in jest. It is also observed broadly in the Indian subcontinent. Holi is celebrated at the end of winter, on the last full moon day of the Hindu luni-solar calendar month marking the spring, making the date vary with the lunar cycle. The date falls typically in March, but sometimes late February of the Gregorian calendar. The festival has many purposes; most prominently, it celebrates the beginning of Spring. In 17th century literature, it was identified as a festival that celebrated agriculture, commemorated good spring harvests and the fertile land. Hindus believe

it is a time of enjoying spring's abundant colours and saying farewell to winter. To many Hindus, Holi festivities mark the beginning of the new year as well as an occasion to reset and renew ruptured relationships, end conflicts and rid themselves of accumulated emotional impurities from the past. It also has a religious purpose, symbolically signified by the legend of Holika. The night before Holi, bonfires are lit in a ceremony known as Holika Dahan (burning of Holika) or Little Holi. People gather near fires, sing and dance. The next day, Holi, also known as ""Dhuli"" in Sanskrit, or

vermilion/roli on the fore head) or ""vibhuti"" (burnt ash of the auspicious ember) on the fore head) and the member prays for prosperity/ individual aspirations. The end of Falgun month; lively fauna and flora; spring season spreads its smell all around; villagers having harvested their crops in leisure ready to enjoy the season. The occasion is Holi festival; the festival of revelries for toiling masses in contrast to Dipawali for affluent ones. In the month of Magh, every year fixed on 14 January, when the sun has entered the zodiac sign of Capricorn, signaling end of winter in the northern

with those in their lives. Holi also marks the start of spring, for many the start of the new year, an occasion for people to enjoy the changing seasons and make new friends. The festival has traditionally been also observed by non-Hindus, such as by Jains and Newar Buddhists (Nepal). Sikhs have traditionally celebrated the festival, at least through the 19th century, with its historic texts referring to it as ""Hola"". Guru Gobind Singh – the last human guru of the Sikhs – modified Holi with a three-day Hola Mohalla extension festival of martial arts. The extension started the day",Holi does not mark the beginning of spring.,PASS,FAIL,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0036,36,HALUEVALQA,haluevalqa-05961,George Rogers Howell served in what office at one of the oldest museums in the United States?,"He also served as secretary for some 15 years of the Albany Institute. Founded in 1791, it is among the oldest museums in the United States.",George Rogers Howell did not serve as secretary of the Albany Institute.,PASS,FAIL,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0037,37,HALUEVALQA,haluevalqa-06060,"What British sitcom, starring the English comedian and actress Jennifer Saunders, did Difford & Tilbrook write the music for?","They have both written independently outside the band, and together wrote the music for the British sit-com ""Girls on Top"" starring Dawn French, Jennifer Saunders, Ruby Wax and Tracey Ullman.Jennifer Jane Saunders (born 6 July 1958) is an English comedian, screenwriter, and actress.",Difford & Tilbrook did not write the music for the British sitcom Girls on Top.,PASS,FAIL,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0038,38,HALUEVALQA,haluevalqa-06048,The Italian theorectical physicist was the first to discover Fano resonance which is what?,"In physics, a Fano resonance is a type of resonant scattering phenomenon that gives rise to an asymmetric line-shape. It is named after Italian-American physicist Ugo Fano, who gave a theoretical explanation for the scattering line-shape of inelastic scattering of electrons from helium; however, Ettore Majorana was the first to discover this phenomenon.Ettore Majorana ( ; ] ; born on 5 August 1906 – probably died after 1959) was an Italian theoretical physicist who worked on neutrino masses.",Fano resonance does not give rise to an asymmetric line-shape.,PASS,PASS,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0039,39,HALUEVALQA,haluevalqa-05954,Brian Emanuel Schatz was appointed by a Governor from what political party?,"Schatz was appointed by Governor Neil Abercrombie to replace Senator Daniel Inouye after his death in 2012.Neil Abercrombie (born June 26, 1938) is an American politician who served as the seventh Governor of Hawaii from 2010 to 2014. He is a member of the Democratic Party.","Neil Abercrombie, the governor who appointed Brian Emanuel Schatz, was not a member of the Democratic Party.",PASS,FAIL,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0040,40,HALUEVALQA,haluevalqa-05921,Ronan the Accuser is an officer of what fictional Marvel Comics alien race?,"He is a judicial officer of the fictional alien race known as the Kree.The Kree, briefly known as the Ruul, are a fictional scientifically and technologically advanced militaristic alien race appearing in American comic books published by Marvel Comics.",Ronan the Accuser is not a judicial officer of the Kree.,PASS,FAIL,Cat2,Negation / Exception,FALSE,CLEAR,Annotator B
REP_0041,41,ASQA,456,What type of horse was the black stallion?,"other things that make him feel sorry for himself. Gabe develops a close bond with Pirate, whom he renames Firefly. He eventually adopts the colt and takes him home. Gabe is also a little hot headed, cranky and has a temper. The Phantom Stallion is a silver stallion, half Quarter Horse and Half Mustang. As a colt he lived with humans and was solid black (hence the name Blackie). His original owner was Samantha Anne Forster, but an accident separated them forever and freed The Phantom into the wild. His dam was a sorrel purebred Quarter Horse mare named Princess

The Black Stallion The Black Stallion, known as the Black or Shêtân, is the title character from author Walter Farley's bestselling series about the Arab stallion and his young owner, Alec Ramsay. The series chronicles the story of a sheikh's prized stallion after he comes into Alec's possession, although later books furnish the Black's backstory. Shaytan (under various transliterations) is the Arabic word for ""devil"". The first book in the series, published in 1941, is titled The Black Stallion. The subsequent novels are about the stallion's three main offspring: his firstborn colt, Satan; his second colt, Bonfire; and his firstborn

The Black Stallion (film) The Black Stallion is a 1979 American adventure film based on the 1941 classic children's novel ""The Black Stallion"" by Walter Farley. But the film starts in 1946, five years after the book was published. It tells the story of Alec Ramsey, who is shipwrecked on a deserted island with a wild Arabian stallion whom he befriends. After being rescued, they are set on entering a race challenging two champion horses. The film is adapted by Melissa Mathison, Jeanne Rosenberg and William D. Wittliff. It is directed by Carroll Ballard. The movie stars Kelly Reno, Teri

are showcased. They have been popular in movies, dating back to the silent film era when Rudolph Valentino rode the Kellogg Arabian stallion Jadaan in 1926's ""Son of the Sheik"", and have been seen in many other films, including ""The Black Stallion"" featuring the stallion Cass Ole, ""The Young Black Stallion"", which used over 40 Arabians during filming, as well as ""Hidalgo"" and the 1959 version of ""Ben-Hur"". Arabians are mascots for football teams, performing crowd-pleasing activities on the field and sidelines. One of the horses who serves as ""Traveler"", the mascot for the University of Southern California Trojans, has

Black Stallion (truck) Black Stallion is a monster truck that races on the USHRA circuit and for other promoters. Black Stallion started out as a stock 1982 Ford F350 back in 1982, owned and modified by Michael Vaters. The first modification was a homemade 12"" lift kit, since such kits were unavailable at the time. Mike then later added two sunroofs, an Alpine stereo system, a Ford 460 Engine, Rockwell 5 ton toploaders, Clark 20 ton planetaries, 66"" terra tires, a 9"" television and later on, a 1988 Ford F series front end. Between 1990 and 1991, Mike realized the",The Black Stallion is portrayed as an Arabian stallion in at least one film adaptation.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0042,42,ASQA,496,The dna directed synthesis of an rna molecule is called?,"Protein synthesis generally consists of two major steps: transcription and translation. Transcription is the process where genetic information in DNA is used to produce a complementary RNA strand. This RNA strand is then processed to give messenger RNA (mRNA), which is free to migrate through the cell. mRNA molecules bind to protein-RNA complexes called ribosomes located in the cytosol, where they are translated into polypeptide sequences. The ribosome mediates the formation of a polypeptide sequence based on the mRNA sequence. The mRNA sequence directly relates to the polypeptide sequence by binding to transfer RNA (tRNA) adapter molecules in binding pockets

combinations of the above techniques. RNA polymerase RNA polymerase (ribonucleic acid polymerase), both abbreviated RNAP or RNApol, official name DNA-directed RNA polymerase, is a member of a family of enzymes that are essential to life: they are found in all living organisms and many viruses. RNAP locally opens the double-stranded DNA (usually about four turns of the double helix) so that one strand of the exposed nucleotides can be used as a template for the synthesis of RNA, a process called transcription. A transcription factor and its associated transcription mediator complex must be attached to a DNA binding site called

RNA polymerase RNA polymerase (ribonucleic acid polymerase), both abbreviated RNAP or RNApol, official name DNA-directed RNA polymerase, is a member of a family of enzymes that are essential to life: they are found in all living organisms and many viruses. RNAP locally opens the double-stranded DNA (usually about four turns of the double helix) so that one strand of the exposed nucleotides can be used as a template for the synthesis of RNA, a process called transcription. A transcription factor and its associated transcription mediator complex must be attached to a DNA binding site called a promoter region before RNAP

DNA synthesis DNA synthesis is the natural or artificial creation of deoxyribonucleic acid (DNA) molecules. The term DNA synthesis can refer to DNA replication - DNA biosynthesis (""in vivo"" DNA amplification), polymerase chain reaction - enzymatic DNA synthesis (""in vitro"" DNA amplification) or gene synthesis - physically creating artificial gene sequences. In nature, DNA molecules are created by all living cells through the process of DNA replication, with replication initiator proteins splitting the cell's DNA and copying each split strand, with the copied strands then joining together with their template strand into a new DNA molecule. Various means exist to

template as part of its structure. It synthesizes telomeres at the ends of chromosomes. Telomeres prevent fusion of the ends of neighboring chromosomes and protect chromosome ends from damage. Transcription is carried out by a DNA-dependent RNA polymerase that copies the sequence of a DNA strand into RNA. To begin transcribing a gene, the RNA polymerase binds to a sequence of DNA called a promoter and separates the DNA strands. It then copies the gene sequence into a messenger RNA transcript until it reaches a region of DNA called the terminator, where it halts and detaches from the DNA. As",All DNA-directed synthesis of RNA described in the context is called transcription.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0043,43,ASQA,564,What is the meaning of nat in networking?,"Network address translation Network address translation (NAT) is a method of remapping one IP address space into another by modifying network address information in the IP header of packets while they are in transit across a traffic routing device. The technique was originally used as a shortcut to avoid the need to readdress every host when a network was moved. It has become a popular and essential tool in conserving global address space in the face of IPv4 address exhaustion. One Internet-routable IP address of a NAT gateway can be used for an entire private network. IP masquerading is a

the NAT function de-randomizes the UDP source ports, the DNS server becomes vulnerable. Network address translation Network address translation (NAT) is a method of remapping one IP address space into another by modifying network address information in the IP header of packets while they are in transit across a traffic routing device. The technique was originally used as a shortcut to avoid the need to readdress every host when a network was moved. It has become a popular and essential tool in conserving global address space in the face of IPv4 address exhaustion. One Internet-routable IP address of a NAT

technique that hides an entire IP address space, usually consisting of private IP addresses, behind a single IP address in another, usually public address space. The address that has to be hidden is changed into a single (public) IP address as ""new"" source address of the outgoing IP packet so it appears as originating not from the hidden host but from the routing device itself. Because of the popularity of this technique to conserve IPv4 address space, the term ""NAT"" has become virtually synonymous with IP masquerading. As network address translation modifies the IP address information in packets, it has

Nat (unit) The natural unit of information (symbol: nat), sometimes also nit or nepit, is a unit of information or entropy, based on natural logarithms and powers of ""e"", rather than the powers of 2 and base 2 logarithms, which define the bit. This unit is also known by its unit symbol, the nat. The nat is the coherent unit for information entropy. The International System of Units, by assigning the same units (joule per kelvin) both to heat capacity and to thermodynamic entropy implicitly treats information entropy as a quantity of dimension one, with . Physical systems of natural

to ""nat"" to avoid confusion with the nit used as a unit of luminance. Alan Turing used the ""natural ban"". Nat (unit) The natural unit of information (symbol: nat), sometimes also nit or nepit, is a unit of information or entropy, based on natural logarithms and powers of ""e"", rather than the powers of 2 and base 2 logarithms, which define the bit. This unit is also known by its unit symbol, the nat. The nat is the coherent unit for information entropy. The International System of Units, by assigning the same units (joule per kelvin) both to heat capacity",Network address translation (NAT) allows an entire private network to use a single Internet-routable IP address.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0044,44,ASQA,526,Where did they film places in the heart?,"Places in the Heart Places in the Heart is a 1984 American drama film written and directed by Robert Benton about a U.S. Depression-era Texas widow who tries to save the family farm with the help of a blind white man and a poor black man. The film stars Sally Field, Lindsay Crouse, Ed Harris, Ray Baker, Amy Madigan, John Malkovich, Danny Glover, Jerry Haynes and Terry O'Quinn. It was filmed in Waxahachie, Texas. Field won the Academy Award for Best Actress for her performance. It is 1935 and Waxahachie, Texas is a small, segregated town in the midst of

West Yorkshire using the real life villages of Marsden, Golcar, Slaithwaite and Meltham for many of the external shots. The first series was mostly filmed in Slaithwaite, with some exterior shots filmed in the village of Baildon, but from series 2 onwards, Marsden was used as the principal filming location. DVDs of the series in the UK are listed below, released by Network DVD. So far Series 1, 2, 3 and 4 have been released. Where the Heart Is (UK TV series) Where the Heart Is is a British television family drama series set in the Yorkshire town of Skelthwaite.

uttered the memorable (and much-mocked) line ""I can't deny the fact that you like me—right now, you like me!"" It is often erroneously recalled as ""You like me—you ""really"" like me!"" The film is recognized by American Film Institute in these lists: ""Places in the Heart"" was released in theatres on September 21, 1984. The film was released on DVD on October 9, 2001, by Sony Pictures Home Entertainment. Places in the Heart Places in the Heart is a 1984 American drama film written and directed by Robert Benton about a U.S. Depression-era Texas widow who tries to save the

picture screened at various film festivals, including Göteborg International Film Festival and London Independent Film Festival. • London Independent Film Festival: Best Film, 2010. • Festival Internazionale Un Film perla Pace, Udine-Gorizia The Heart of No Place The Heart of No Place is a 2009 independent film written and directed by Rika Ohara, based on reinterpretation of Yoko Ono's life and work. Shot entirely on Digital 8 on location in Los Angeles, Berlin, Tokyo, Liverpool and Ho Chi Minh City, and with participation of many Los Angeles- and German artists and musicians, the film won the Best Film (International) award

an underwater shot depicting the bodies that had been placed in the pond, including the recently added bodies of Bob and Ted. Filming began in February 2005. The main filming location was in the village of St Michael Penkevil in Cornwall. Locations on the Isle of Man were used for all filming outside the village. The outer shots of the train is on the North Yorkshire Moors Railway, the scene with the car going over a small bridge with the train going over another is just outside Goathland (Aidensfield in ""Heartbeat""). Review aggregator website Rotten Tomatoes reported that 56% of","At least one filming location for Places in the Heart was Waxahachie, Texas.",PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0045,45,ASQA,514,Who is the current agriculture minister of india?,"Ministry of Agriculture & Farmers Welfare The Ministry of Agriculture and Farmers Welfare (formerly Ministry of Agriculture), a branch of the Government of India, is the apex body for formulation and administration of the rules and regulations and laws related to agriculture in India. The three broad areas of scope for the Ministry are agriculture, food processing and co-operation. The agriculture ministry is headed by Minister of Agriculture Radha Mohan Singh. Abhishek Singh Chauhan, Krishna Raj and Parsottambhai Rupala are the Ministers of State. Agriculture is the principal source of livelihood for more than half population of India. Agriculture provides

with the highest margin of over 53,000 votes against his nearest rival. Earlier, he was the Minister for Sugar and Rural water supply in the BJP-Janata Dal (Secular) coalition government headed by H.D.Kumaraswamy. Following the historic victory of the BJP in Karnataka, He was sworn-in as a Cabinet minister in the Yeddyurappa government on May 30, 2008 and was entrusted with the Agriculture portfolio. Currently, he is serving as the Minister for Horticulture in the D.V. Sadananda Gowda government. He is also the minister in charge for Davanagere district. He is credited with bringing the BJP to power in the

Minister of Agriculture (Hungary) The Minister of Agriculture of Hungary () is a member of the Hungarian cabinet and the head of the Ministry of Agriculture. The current agriculture minister is Sándor Fazekas. The position was called Minister of Agriculture, Industry and Trade () from 1848 to 1889, People's Commissar of Agriculture () during the Hungarian Soviet Republic in 1919, Minister of Agriculture and Food () between 1967 and 1990, Minister of Agriculture and Rural Development () from 1998 till 2010 and Minister of Rural Development () between 2010 and 2014. This page is a list of Ministers of Agriculture

and Pesticide (iv) Citizens in General. The ministerial team at the MHA is headed by the Cabinet Minister for Agriculture, who may or may not be supported by Ministers of State. Civil servants are assigned to them to manage the ministers' office and ministry. The current head of the ministry is Asish Banerjee.jpg who is also the Ministry of Agriculture. Ministry of Agriculture (West Bengal) The Ministry of Agriculture of West Bengal is a Bengal government ministry. It is a ministry mainly responsible for the activities relating to policy decisions on agricultural production and productivity, and its extension through technology

of Agriculture is Ralph Eichler of the Progressive Conservatives. Minister of Agriculture (Manitoba) The Minister of Agriculture is a cabinet minister in the province of Manitoba, Canada. The minister oversees government activity in agriculture, agri-food and the agri-product sector. Some changes in the ministerial responsibilities have resulted in change to the name of the ministry. Manitoba Agriculture, Food and Rural Initiatives (MAFRI), was created on November 4, 2003 when the department of Agriculture and Food was merged with Rural Initiatives and Cooperative Development (both from the Department of Intergovernmental Affairs). On May 3, 2016 the Pallister government renamed the cabinet",At least one person identified as India's Minister of Agriculture in the context is Radha Mohan Singh.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0046,46,HALUEVALQA,haluevalqa-05591,"Edward Sedgwick and John Milius, share which common occupations?","Edward Sedgwick (November 7, 1889 – March 7, 1953) was an American film director, writer, actor and producer.John Frederick Milius (born April 11, 1944) is an American screenwriter, director, and producer of motion pictures.","Edward Sedgwick and John Milius shared at least three occupations: director, writer/screenwriter, and producer.",PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0047,47,HALUEVALQA,haluevalqa-05559,What NFL team shared a coach with the Austrian skydiver best known for setting world records when he jumped from a helium balloon in the stratosphere in October of 2012?,"Dr. Michael Gervais (born 1971) is a sport psychologist and entrepreneur, best known for working with the NFL's Seattle Seahawks and being the high performance coach of Austrian skydiver Felix Baumgartner.Felix Baumgartner (] ; born 20 April 1969) is an Austrian skydiver, daredevil and BASE jumper. He is best known for jumping to Earth from a helium balloon in the stratosphere on 14 October 2012.","Michael Gervais worked professionally with at least two distinct parties mentioned in the context, including the Seattle Seahawks.",PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0048,48,HALUEVALQA,haluevalqa-00054,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,"Nixon received an Emmy Award and a Screen Actors Guild Award for her performance. She is known for her portrayal of Miranda Hobbes in the HBO series, ""Sex and the City"" (1998–2004), for which she won the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series.",Cynthia Nixon received at least two awards for her performance in Sex and the City.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0049,49,HALUEVALQA,haluevalqa-05579,Ivar the Boneless had a brother who held what position in the mid-ninth-century?,"His brothers included Björn Ironside, Halfdan Ragnarsson, Hvitserk, Sigurd Snake-in-the-Eye and Ubba.Ubba, also known as Hubba, Ubbe, and Ubbi, was a mid-ninth-century Viking chieftain and one of the commanders of the Great Army, a coalition of Norse warriors that in AD 865 invaded the Anglo-Saxon kingdoms of Northumbria, Mercia, East Anglia and Wessex.","At least one of Ivar the Boneless's brothers, Ubba, was a mid-ninth-century Viking chieftain.",PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0050,50,HALUEVALQA,haluevalqa-05689,Seth Adkins played Pinocchio in the movie with original songs by whom?,"Adkins played Pinocchio in the film ""Geppetto"" (2000) and Matt Reeves in the film ""Let Me In"" (2010). It featured original songs written by Stephen Schwartz.",At least one person credited with writing original songs for Geppetto was Stephen Schwartz.,PASS,PASS,Cat3,Quantifier / Boundary,TRUE,CLEAR,Annotator B
REP_0051,51,ASQA,362,Who wrote the lyrics to the greatest showman?,"subject of a chapter in Gilbert Gigliotti's ""A Storied Singer: Frank Sinatra as Literary Conceit"", ""Come [Fly, Dance, and Waltz with] Us on Equal Terms"": The Whitmanesque Sinatra of Sammy Cahn,"" published by Greenwood Press in 2002. Cahn wrote lyrics for many songs, including: Lyrics for film musicals include ""Journey Back to Oz"" (1971) (music by Van Heusen) and ""The Wizard of Oz"" (1982) (music by Joe Hisaishi). Cahn wrote the lyrics for the following Broadway musicals: Sammy Cahn Sammy Cahn (June 18, 1913 – January 15, 1993) was an American lyricist, songwriter and musician. He is best known for

Bill Russell (lyricist) Bill Russell (born 1949) is an American librettist and lyricist. Among his stage musicals are ""Elegies for Angels, Punks and Raging Queens"" and ""Side Show"", which was nominated for the Tony Award as Best Musical. Russell's first musical to be produced is ""Fortune"", which ran Off-Broadway at the Actors' Plahouse from April 27, 1980 to November 23, 1980. Ronald Melrose wrote the music, with Russell writing the book and lyrics. The musical director and arranger was Janet Hood; they have gone on to write several musicals together. The musical concerned four performers who were headed to be

and Justin Paul wrote all the songs appearing in the film. The soundtrack album is produced by Justin Paul, Benj Pasek, Greg Wells, Kevin Weaver and Pete Ganbarg, featuring the eleven tracks performed by the cast. In the United Kingdom it became only the second album in 30 years to achieve 11 consecutive weeks at number 1. ""The Greatest Showman"" now draws level with Adele's ""21"" for the longest unbroken run at the UK summit in the last 30 years. The cast album is now at 910,000 combined units, according to the Official Charts Company, made up of 420,000 physical

Fellini's ""The Clowns."" For theater, he wrote the lyrics for the Broadway production of Lorraine Hansberry's ""The Sign in Sidney Brustein's Window"": the Theatreworks and Pittsburgh Civic Light Opera productions of ""Young Ben Franklin""; and contributed material to ""Upstairs at the Downstairs,"" ""Broadway Jukebox"" and numerous other shows and reviews. One of his most popular works is ""The Confidence Man"", a musical based on the Herman Melville novel of the same name. Ray Fox wrote the book and lyrics and Jim Steinman wrote the music. It was originally performed as a cabaret piece at the Manhattan Theater Club. A full

he declined in order to fulfill his commitments on a Bonnie Tyler album. Alan Jay Lerner was then recruited, but he became seriously ill after joining the project and was forced to withdraw; none of his contributions (mostly involving the song ""Masquerade"") are credited in the show. Richard Stilgoe, the lyricist for ""Starlight Express,"" wrote most of the original lyrics for the production. Charles Hart, a young and then-relatively unknown lyricist, later rewrote many of the lyrics, along with original lyrics for ""Think of Me"". Some of Stilgoe's original contributions are still present in the final version, however. Inspired in",Justin Paul alone wrote all of the songs appearing in The Greatest Showman.,PASS,PASS,Cat3,Quantifier / Boundary,FALSE,CLEAR,Annotator B
REP_0052,52,ASQA,268,Who voices rocket raccoon in guardians of the galaxy?,"including animated television series, toys, and video games. He appears in the live-action films ""Guardians of the Galaxy"" (2014), ""Guardians of the Galaxy Vol. 2"" (2017), """" (2018), and the upcoming """" (2019), all set in the Marvel Cinematic Universe. In these appearances, Rocket Raccoon is voiced by Bradley Cooper, with motion capture provided by Sean Gunn. The character was created by Bill Mantlo and Keith Giffen, and inspired by the Beatles song ""Rocky Raccoon"". Other references to the song were featured in Rocket's appearance in ""The Incredible Hulk"" #271 (May 1982), which was titled ""Now Somewhere In the Black

were considered for the role included """"s Zachary Levi, Joseph Gordon-Levitt, Michael Rosenbaum, and John Gallagher Jr. Chris Pratt was cast in the role in February 2013, as part of a multi-film deal that he signed with Marvel. In January 2013, filming was scheduled to take place at Shepperton Studios in London, United Kingdom, and Marvel Studios announced that the film would be released in 3D. Victoria Alonso, an executive producer on the film, said that filming would begin in June. She also said that both Rocket Raccoon and Groot would be created through a combination of CGI and motion

the Guardians of the Galaxy, including Chris Pratt as Peter Quill / Star-Lord, Pom Klementieff as Mantis, Karen Gillan as Nebula, Dave Bautista as Drax the Destroyer, Zoe Saldana as Gamora, Vin Diesel as the voice of Groot, and Bradley Cooper as the voice of Rocket. Sean Gunn served as the on-set stand-in actor for Rocket on both films. Additional actors reprising their roles in ""Infinity War"" from the various MCU franchises include Benedict Cumberbatch as Stephen Strange from ""Doctor Strange"", with Benedict Wong as Wong; Tom Holland as Peter Parker / Spider-Man from ""Spider-Man: Homecoming"", with Jacob Batalon as

siblings. He was into theatre and did tap, jazz and Polynesian dance as a child. He attended the University of Alberta for drama and directed stage productions as well as student films. Trevor moved to Vancouver in 1998 to pursue a film directing career. While working for a talent agency, he made a demo tape for them and began landing work as a voice actor. In March 2015 it was announced Trevor would be the voice of Rocket Raccoon in Marvel's animated ""Guardians of the Galaxy"". Since 2007, Devall produced his own podcast, ""Voiceprint with Trevor Devall & Guests"", where

Trevor Devall Trevor Devall (born November 10, 1972) is a Canadian voice actor, actor and podcaster. He worked for Ocean Studios and various other studios in Vancouver, British Columbia, Canada for years, before he relocated to Los Angeles, California in 2013. He is best known for voicing Hot Dog in ""Krypto the Superdog"", Rocket Raccoon in the animated TV series ""Guardians of the Galaxy"", Emperor Palpatine in ""Lego Star Wars"", Pyro in ""X-Men Evolution"", Dukey in seasons 5 and 6 of ""Johnny Test"", and various characters in the Netflix original series ""F Is for Family"", as well as providing voices",Bradley Cooper is the only actor who voices Rocket Raccoon across both the Guardians of the Galaxy films and animated television series.,PASS,PASS,Cat3,Quantifier / Boundary,FALSE,CLEAR,Annotator B
